About|Про
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Додайте або видаліть імена доменів для випадків, з якими ви бажаєте об'єднатися. Не включайте власні доменні імена.
Notify via|Повідомте через
Receive admin notifications|Отримуйте сповіщення адміністратора
New calendar event|Нова подія календаря
New direct message|Нове пряме повідомлення
New reply|Нова відповідь
New shared item|Новий спільний елемент
New follow request|Новий наступний запит
Number of connections on HTTP port is high|Кількість з'єднань на HTTP-порту висока
Number of connections on HTTPS port is high|Кількість з'єднань на HTTPS-порту висока
Cryptpad allow new signups|Cryptpad дозволяє нові реєстрації
Name of the Dungeon Master|Ім'я майстра підземелля
Message Of The Day|Повідомлення дня
port|мережевий порт
Server Password|Пароль сервера
DNS over TLS|DNS через TLS
IP Address|IP-адреса
New git patch|Новий патч git
liked your post|сподобалась ваша публікація
IRC Password|IRC пароль
Reaction by|Реакція з боку
