About|Trong khoảng
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync không được mã hóa nhưng có thể được sử dụng thông qua một địa chỉ củ hành để bảo mật vận chuyển. Nếu bạn đang sử dụng nó thông qua tên miền của mình thì các bên thứ ba sẽ có thể xem nội dung, nhưng điều này có thể không quan trọng nếu bạn đang đồng bộ hóa các tệp công khai, chẳng hạn như tải xuống distro GNU / Linux.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Tránh sử dụng dữ liệu này cho dữ liệu riêng tư, trừ khi bạn chỉ sử dụng rsync thông qua địa chỉ củ hành.
Creating a Mirror|Tạo gương
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Chọn nút Cài đặt, sau đó nhập tên miền và mô-đun cho gương. Từ đó đồng bộ hóa sẽ xảy ra một lần mỗi ngày.
Local Sync|Đồng bộ cục bộ
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Nếu bạn đã tạo một máy nhân bản cho máy chủ của mình, thì bạn có thể đồng bộ các tệp đó với các máy hoặc thiết bị khác trên mạng cục bộ của mình như sau:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Nếu "libreserver" không hoạt động thì bạn có thể thay thế địa chỉ IP cục bộ của máy chủ của mình.
Create a mirror of public files|Tạo một bản sao của các tập tin công cộng
The domain name could not be changed|Tên miền không thể thay đổi
This might be because you do not have ports 80 and 443 forwarded to the server.|Điều này có thể là do bạn không có cổng 80 và 443 được chuyển tiếp đến máy chủ.
Check the port forwarding settings on your internet router.|Kiểm tra cài đặt chuyển tiếp cổng trên bộ định tuyến internet của bạn.
Please specify a domain name which will be used for your email or XMPP address.|Vui lòng chỉ định một tên miền sẽ được sử dụng cho email hoặc địa chỉ XMPP của bạn.
Please forward the following ports from your internet router:|Vui lòng chuyển tiếp các cổng sau từ bộ định tuyến internet của bạn:
Search for 'Barcode Scanner', then select 'install'|Tìm kiếm 'Máy quét mã vạch', sau đó chọn 'cài đặt'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Tải xuống tệp apk DarkMesbah qua liên kết bên dưới, tốt nhất là sử dụng trình duyệt dựa trên Tor, sau đó cài đặt nó
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Chạy DarkMesbah và thiết lập tài khoản ban đầu sẽ được hiển thị. DarkMesbah chỉ cho phép sử dụng địa chỉ củ hành để tạo tài khoản
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Bạn có thể lấy địa chỉ XMPP của mình từ phần Thành viên trong giao diện web, thường là tại http: // libreserver / admin hoặc http: //libreserver.local/admin. Nếu bạn không thể dễ dàng sao chép và dán nó vào thiết lập tài khoản trong DarkMesbah thì bạn có thể sử dụng trình quét mã vạch trên mã QR được hiển thị
Enter the password which you stored during initial setup of the system and also the onion domain|Nhập mật khẩu mà bạn đã lưu trong quá trình thiết lập ban đầu của hệ thống và tên miền củ hành
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Bây giờ bạn có thể kết nối với tài khoản XMPP của mình và đặt hình đại diện nếu cần thiết
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Khi gửi hoặc nhận hình ảnh hoặc các tệp đính kèm khác lần đầu tiên, bạn sẽ cần chấp nhận các chứng chỉ tự ký. Chọn 'luôn luôn' hai lần. Điều này chỉ xảy ra một lần cho mỗi liên hệ
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Trong Cài đặt / Chuyên gia, bạn có thể muốn thay đổi thời gian xóa tin nhắn tự động. Theo mặc định, đây là một ngày
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Khi thiết lập trò chuyện nhóm trước tiên, hãy đảm bảo rằng bạn đã xác nhận riêng việc nhắn tin hai chiều với từng người tham gia
Enable strict TLS authentication between XMPP servers?|Cho phép xác thực TLS nghiêm ngặt giữa các máy chủ XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Nếu bạn hoặc người khác gặp khó khăn khi tham gia trò chuyện nhiều người dùng thì việc bật này có thể giúp
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Âm nhạc có thể được tải lên bằng NextCloud. Cài đặt ứng dụng và sau đó tạo một thư mục có tên 'Âm nhạc'.
Drag your files into the Music directory and they will then become available to mpd.|Kéo tệp của bạn vào thư mục Âm nhạc và sau đó chúng sẽ có sẵn cho mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Chọn tìm kiếm (biểu tượng kính lúp) và tìm kiếm 'MALP', sau đó chọn 'cài đặt'
Open MALP and from the settings select Profiles|Mở MALP và từ cài đặt, chọn Cấu hình
Enter the following settings:|Nhập các cài đặt sau:
Save the settings by selecting the disk icon at the top right of the screen|Lưu cài đặt bằng cách chọn biểu tượng đĩa ở phía trên bên phải màn hình
You should now be able to connect to mpd on your server and select and play albums.|Bây giờ bạn có thể kết nối với mpd trên máy chủ của mình và chọn và phát album.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Trong trình duyệt không phải Tor, điều hướng đến http: // libreserver: 8250 hoặc http: // [địa chỉ IP máy chủ cục bộ]: 8250 và bạn sẽ có thể phát album đã chọn.
Setting up on the desktop|Thiết lập trên máy tính để bàn
Install Sonata|Cài đặt Sonata
Run Sonata and enter the following settings:|Chạy Sonata và nhập các cài đặt sau:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Bây giờ bạn có thể xem các album của mình được liệt kê và có thể thêm chúng vào danh sách đang phát.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Trong trình duyệt không phải Tor, điều hướng đến http: // libreserver: 8250 hoặc http: // [địa chỉ IP máy chủ cục bộ]: 8250 và bạn sẽ có thể phát album đã chọn.
Select your music file format:|Chọn định dạng tệp nhạc của bạn:
pixelfed allow new registrations|pixelfed cho phép đăng ký mới
Groceries and household management|Cửa hàng tạp hóa và quản lý hộ gia đình
Organization|Cơ quan
VPN domain or IP address:|Tên miền VPN hoặc địa chỉ IP:
VPN public key:|Khóa công khai VPN:
Public key for this server:|Khóa công khai cho máy chủ này:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Khóa công khai cho máy tính xách tay hoặc thiết bị mà bạn muốn có thể sử dụng máy chủ này để kết nối với internet.
Network|Mạng
Set your coordinates on the map|Đặt tọa độ của bạn trên bản đồ
Longitude:|Kinh độ:
Latitude:|Vĩ độ:
Join|Tham gia
Docs|Tài liệu
Community network map is being generated|Bản đồ mạng cộng đồng đang được tạo
Please wait|Xin vui lòng chờ
IP address (optional):|Địa chỉ IP (tùy chọn):
Export|Xuất khẩu
Add a new community network node|Thêm một nút mạng cộng đồng mới
Remove a community network node|Xóa nút mạng cộng đồng
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|CẢNH BÁO: Chỉ thay đổi điều này nếu bạn biết những gì bạn đang làm. Chọn sai giao thức lưới có thể khiến máy chủ của bạn biến mất khỏi mạng và khó phục hồi
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|CẢNH BÁO: Chỉ thay đổi điều này nếu bạn biết những gì bạn đang làm. Đặt địa chỉ IP hoặc cổng không chính xác có thể khiến máy chủ của bạn không truy cập được và có thể khó khôi phục
Choose your network:|Chọn mạng của bạn:
Language is being changed|Ngôn ngữ đang được thay đổi
Community Network|Mạng cộng đồng
Theme is being changed|Chủ đề đang được thay đổi
Install a new app|Cài đặt ứng dụng mới
Restore APPNAME from backup?|Khôi phục APPNAME từ bản sao lưu?
Add or remove feeds|Thêm hoặc xóa nguồn cấp dữ liệu
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Nhập URL nguồn cấp RSS để thêm hoặc xóa. Tên miền là đủ để loại bỏ.
Show onion address|Hiển thị địa chỉ hành tây
Multi User Dungeon from the era of Welsh mainframe computing|Dungeon nhiều người dùng từ thời đại điện toán máy tính lớn của xứ Wales
Forward the UDP port 5100 from your internet router|Chuyển tiếp cổng UDP 5100 từ bộ định tuyến internet của bạn
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Vì ứng dụng này chỉ sử dụng giao thức UDP nên nó sẽ không hoạt động thông qua địa chỉ củ hành. Nếu bạn đang chạy phiên bản hành tây duy nhất của LibreServer thì hãy sử dụng địa chỉ IP cục bộ của nó (thường là 192.168.1.x) để kết nối với trò chơi trên cổng trên.
Near infinite world block sandbox game|Trò chơi hộp cát thế giới vô hạn gần
Federation List|Danh sách liên đoàn
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Thêm hoặc xóa tên miền cho các trường hợp mà bạn muốn liên kết. Đừng bao gồm tên miền của riêng bạn.
Notify via|Thông báo qua
Receive admin notifications|Nhận thông báo của quản trị viên
New calendar event|Sự kiện lịch mới
New direct message|Tin nhắn trực tiếp mới
New reply|Trả lời mới
New shared item|Mục chia sẻ mới
New follow request|Yêu cầu theo dõi mới
Number of connections on HTTP port is high|Số lượng kết nối trên cổng HTTP cao
Number of connections on HTTPS port is high|Số lượng kết nối trên cổng HTTPS cao
Cryptpad allow new signups|Cryptpad cho phép đăng ký mới
Name of the Dungeon Master|Tên của Dungeon Master
Message Of The Day|Tin nhắn của ngày
port|cổng thông tin
Server Password|Mật khẩu máy chủ
DNS over TLS|DNS qua TLS
IP Address|Địa chỉ IP
New git patch|Bản vá git mới
liked your post|thích bài viết của bạn
IRC Password|Mật khẩu irc
Reaction by|Phản ứng của
