About|Over
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Ga in een niet-Tor-browser naar http: // libreserver: 8250 of http: // [server local IP address]: 8250 en je zou het geselecteerde album kunnen afspelen.
Select your music file format:|Selecteer je muziekbestandsformaat:
pixelfed allow new registrations|Pixelfed staat nieuwe registraties toe
Groceries and household management|Boodschappen en huishoudelijk beheer
Organization|Organisatie
VPN domain or IP address:|VPN-domein of IP-adres:
VPN public key:|VPN openbare sleutel:
Public key for this server:|Publieke sleutel voor deze server:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Publieke sleutels voor de laptops of apparaten waarvan u deze server wilt gebruiken om verbinding te maken met internet.
Network|Netwerk
Set your coordinates on the map|Zet uw coördinaten op de kaart
Longitude:|Lengtegraad:
Latitude:|Breedtegraad:
Join|toetreden
Docs|Docs
Community network map is being generated|Communitynetwerkkaart wordt gegenereerd
Please wait|Even geduld aub
IP address (optional):|IP-adres (optioneel):
Export|Exporteren
Add a new community network node|Voeg een nieuw communitynetwerkknooppunt toe
Remove a community network node|Verwijder een communitynetwerkknooppunt
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|WAARSCHUWING: verander dit alleen als u weet wat u doet. Als u het verkeerde mesh-protocol selecteert, kan uw server verdwijnen uit het netwerk en moeilijk zijn om te herstellen
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|WAARSCHUWING: verander dit alleen als u weet wat u doet. Als u een onjuist IP-adres of een verkeerde gateway instelt, kan uw server ontoegankelijk worden en mogelijk moeilijk te herstellen zijn
Choose your network:|Kies uw netwerk:
Language is being changed|Taal wordt veranderd
Community Network|Community Netwerk
Theme is being changed|Thema wordt veranderd
Install a new app|Installeer een nieuwe app
Restore APPNAME from backup?|APPNAME herstellen vanaf back-up?
Add or remove feeds|Feeds toevoegen of verwijderen
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Voer een RSS-feed-URL in om toe te voegen of te verwijderen. De domeinnaam is voldoende voor verhuizingen.
Show onion address|Laat het uien-adres zien
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon uit het tijdperk van Welsh mainframe computing
Forward the UDP port 5100 from your internet router|Stuur de UDP-poort 5100 door vanaf uw internetrouter
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Omdat deze app alleen het UDP-protocol gebruikt, werkt deze niet via een ui-adres. Als u de ui-versie van LibreServer gebruikt, gebruikt u het lokale IP-adres (meestal 192.168.1.x) om verbinding te maken met het spel op de bovenstaande poort.
Near infinite world block sandbox game|Dichtbij oneindig wereldblok-sandbox-spel
Federation List|Federatielijst
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Voeg de domeinnamen toe of verwijder deze voor instanties waarmee u wilt federeren. Voeg geen eigen domeinnamen toe.
Notify via|Melden via
Receive admin notifications|Ontvang admin notificaties
New calendar event|Nieuw kalenderevenement
New direct message|Nieuw direct bericht
New reply|Nieuw antwoord
New shared item|Nieuw gedeeld item
New follow request|Nieuw volgverzoek
Number of connections on HTTP port is high|Aantal verbindingen op HTTP-poort is hoog
Number of connections on HTTPS port is high|Aantal verbindingen op HTTPS-poort is hoog
Cryptpad allow new signups|Cryptpad staat nieuwe aanmeldingen toe
Name of the Dungeon Master|Naam van de kerker-meester
Message Of The Day|Bericht van de dag
port|netwerkpoort
Server Password|Server wachtwoord
DNS over TLS|DNS via TLS
IP Address|IP adres
New git patch|Nieuwe git-patch
liked your post|vond je post leuk
IRC Password|IRC-wachtwoord
