About|Σχετικά με
This is a simple and lightweight photo album for the web. Whether you're an amateur or professional photographer, or want to publish random holiday pics or cat pictures. Lychee just does what it says it does without any fuss.|Αυτό είναι ένα απλό και ελαφρύ άλμπουμ φωτογραφιών για τον ιστό. Είτε είστε ερασιτέχνης ή επαγγελματίας φωτογράφος, είτε θέλετε να δημοσιεύσετε τυχαίες φωτογραφίες διακοπών ή εικόνες γάτας. Ο Lychee κάνει ακριβώς αυτό που λέει ότι κάνει χωρίς καμία αναστάτωση.
This provides an webmail interface suitable for use on desktop or mobile clients and with built in support for encryption.|Αυτό παρέχει μια διεπαφή webmail κατάλληλη για χρήση σε επιτραπέζιους ή κινητούς πελάτες και με ενσωματωμένη υποστήριξη για κρυπτογράφηση.
This is a system for file synchronisation and also has many other plugins for calendar, videoconferencing, collaborative document editing and federated file sharing.|Πρόκειται για ένα σύστημα για συγχρονισμό αρχείων και διαθέτει επίσης πολλά άλλα πρόσθετα για ημερολόγιο, τηλεδιάσκεψη, επεξεργασία συνεργατικών εγγράφων και κοινή χρήση αρχείων.
This is a video hosting system which uses webtorrent to help distribute the files to or between clients.|Πρόκειται για ένα σύστημα φιλοξενίας βίντεο το οποίο χρησιμοποιεί webtorrent για να βοηθήσει στη διανομή των αρχείων σε ή μεταξύ πελατών.
Use the username 'root' and your usual password to log in as the administrator. You can then change settings as needed.|Χρησιμοποιήστε το όνομα χρήστη "root" και τον συνήθη κωδικό πρόσβασης για να συνδεθείτε ως διαχειριστής. Στη συνέχεια, μπορείτε να αλλάξετε τις ρυθμίσεις ανάλογα με τις ανάγκες.
This is an OStatus and ActivityPub compatible social networking server which federates with other fediverse systems. It is high-performance and so is especially well suited for running on low power single board computers without much RAM.|Πρόκειται για ένα διακομιστή κοινωνικής δικτύωσης συμβατό με OStatus και ActivityPub, ο οποίος συγχωνεύεται με άλλα συστήματα fediverse. Είναι υψηλής απόδοσης και έτσι είναι ιδιαίτερα κατάλληλη για να τρέχει σε υπολογιστές χαμηλής ισχύος μεμονωμένες κάρτες χωρίς πολύ RAM.
Since Pleroma supports the same protocols, any Mastodon client for Android should work with it.|Εφόσον το Pleroma υποστηρίζει τα ίδια πρωτόκολλα, κάθε πελάτης Mastodon για Android θα πρέπει να συνεργάζεται με αυτό.
This is a fork of GNU Social which includes some extra fixes and optimisations to improve performance. It federates with other fediverse servers, such as Pleroma or Mastodon.|Αυτή είναι μια διακλάδωση του GNU Social που περιλαμβάνει κάποιες πρόσθετες διορθώσεις και βελτιστοποιήσεις για τη βελτίωση της απόδοσης. Συνδέεται με άλλους διακομιστές fediverse, όπως Pleroma ή Mastodon.
This is an encrypted pastebin, such that the server has zero knowledge of the content. It's intended for small amounts of text less than 32K in length. It's not intended for transfering large files, or for storing pastes for more than a day.|Πρόκειται για κρυπτογραφημένο pastebin, έτσι ώστε ο διακομιστής να έχει μηδενική γνώση του περιεχομένου. Προορίζεται για μικρές ποσότητες κειμένου μικρότερες από 32Κ σε μήκος. Δεν προορίζεται για τη μεταφορά μεγάλων αρχείων ή για την αποθήκευση παστών για περισσότερο από μία ημέρα.
This is a web based user interface to the Matrix federated chat system. You will need to have already installed the Matrix app for this to work.|Πρόκειται για μια διεπαφή χρήστη που βασίζεται στο web στο σύστημα συνομιλίας Matrix. Θα χρειαστεί να έχετε ήδη εγκαταστήσει την εφαρμογή Matrix για να λειτουργήσει αυτό.
This is yet another chat system, but the server part of it isn't federated and so it's suitable for small private groups rather than for general public discussions.|Αυτό είναι ένα άλλο σύστημα συνομιλίας, αλλά το τμήμα του διακομιστή δεν είναι ομόσπονδο και επομένως είναι κατάλληλο για μικρές ιδιωτικές ομάδες και όχι για συζητήσεις γενικού κοινού.
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|Παρέχει μια παρόμοια δυνατότητα με ιδιόκτητα συστήματα όπως το Dropbox, αλλά και είναι κατάλληλη για χρήση με υπολογιστές με χαμηλή ισχύ single board. Μπορείτε να έχετε έναν ή περισσότερους καταλόγους που συγχρονίζονται μεταξύ των φορητών / επιτραπέζιων / συσκευών σας και αυτό σας καθιστά δύσκολο να χάσετε ποτέ σημαντικά αρχεία. Φυσικά, δεν χρειάζεται απαραίτητα να τρέχετε ένα διακομιστή για να χρησιμοποιήσετε το Synching, αλλά εάν έχετε έναν διακομιστή ο οποίος εκτελείται πάντοτε τότε υπάρχει πάντα τουλάχιστον ένα μέρος για να συγχρονίσετε τα αρχεία σας από ή προς.
On a Debian based system:|Σε ένα σύστημα που βασίζεται στο Debian:
Or on Android search for the Syncthing app.|Ή στην αναζήτηση Android για την εφαρμογή Συγχρονισμός.
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Χρησιμοποιώντας το κουμπί ρυθμίσεων στη διεπαφή ιστού LibreServer για την εφαρμογή Συγχρονισμός, μπορείτε στη συνέχεια να επικολλήσετε σε οποιοδήποτε αναγνωριστικό για άλλες συσκευές. Στη συνέχεια θα συγχρονίζονται με το διακομιστή σας.
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Ένα σύστημα για ιδιωτική δημιουργία και διανομή σημειώσεων και εικόνων, παρόμοιο με το Evernote. Μπορεί να ρυθμιστεί έτσι ώστε ένας μικρός αριθμός χρηστών στο διακομιστή να μπορούν να μοιράζονται τις σημειώσεις τους με βολικό τρόπο. Δεν έχει κανένα περιβάλλον εργασίας χρήστη ιστού και πρέπει να εγκαταστήσετε εγγενείς πελάτες σε κινητά ή φορητούς / επιτραπέζιους υπολογιστές.
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|Δεδομένου ότι τα δεδομένα σε κατάσταση ηρεμίας αποθηκεύονται σε κρυπτογραφημένη μορφή PGP, αυτό είναι ένα καλό σύστημα που χρησιμοποιείται σε περιπτώσεις όπου η ασφάλεια είναι πραγματικά ένας κρίσιμος παράγοντας.
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Μεταβείτε στη διεύθυνση https://turtlapp.com/download και, στη συνέχεια, θα μπορείτε να κάνετε λήψη της κατάλληλης εφαρμογής για το laptop ή το τηλέφωνό σας.
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|Εκτελέστε τη λήψη της εγγενούς εφαρμογής και, στη συνέχεια, στο κάτω μέρος της οθόνης, επιλέξτε τις "σύνθετες ρυθμίσεις" και εισαγάγετε το όνομα τομέα turl και καταχωρίστε έναν νέο λογαριασμό. Ο κωδικός πρόσβασης μπορεί να είναι οτιδήποτε επιλέγετε, αλλά δεδομένου ότι η κρυπτογράφηση από την πλευρά του πελάτη εξαρτάται από την ύπαρξη ενός καλού κωδικού πρόσβασης, το καθιστά μακρύ τυχαίο συμβολοσειρά που παράγεται από έναν διαχειριστή κωδικών πρόσβασης, όπως το KeepassX.
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|Στη συνέχεια, θα πρέπει να είστε σε θέση να συνδεθείτε και να αρχίσετε να χρησιμοποιείτε την εφαρμογή. Ίσως θελήσετε επίσης να καλέσετε άλλους χρήστες του συστήματός σας LibreServer να εγγραφούν επίσης χρησιμοποιώντας το όνομα τομέα turtl που καθορίσατε κατά την εγκατάσταση.
Disabling new registrations|Απενεργοποίηση νέων εγγραφών
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|Μόλις έχετε ρυθμίσει το διακομιστή με όσο πολλούς χρήστες χρειάζονται, τότε μπορείτε να απενεργοποιήσετε τις νέες εγγραφές επιλέγοντας το Turtl στην διεπαφή ιστού LibreServer και πηγαίνοντας στην οθόνη ρυθμίσεων.
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|Αυτό είναι παρόμοιο με το Hubzilla, αλλά με μειωμένο φάσμα χαρακτηριστικών που επικεντρώνεται αποκλειστικά στην κοινωνική δικτύωση με την τελευταία έκδοση του πρωτοκόλλου Zot. Υποστηρίζεται νομαδική ταυτότητα, ώστε να μπορείτε να εξάγετε τα κανάλια σας και να τα εισάγετε σε άλλους διακομιστές αν χρειαστεί, χωρίς να χάσετε τους οπαδούς σας.
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|Ο πρώτος λογαριασμός που θα εγγραφείτε θα είναι ο χρήστης διαχειριστή και από εκεί μπορείτε να μεταβείτε στις ρυθμίσεις διαχειριστή και να απενεργοποιήσετε τις νέες εγγραφές, αν χρειαστεί.
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|Για να βρείτε άλλους χρήστες που θα ακολουθήσουν επιλέξτε "κατάλογο" από το αναπτυσσόμενο μενού στην επάνω δεξιά γωνία της οθόνης και ορίστε "αυτό το site μόνο" σε "όχι".
There is an Android app available called Nomad.|Υπάρχει διαθέσιμη μια εφαρμογή Android που ονομάζεται Nomad.
End-to-end encrypted sync of calendar and contacts between devices|Συγχρονισμένο συγχρονισμένο συγχρονισμό ημερολογίου και επαφές μεταξύ συσκευών
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|Ασφαλής, συγχρονισμένο συγχρονισμένο συγχρονισμένο συγχρονισμένο συγχρονισμένο συγχρονισμένο συγχρονισμό προσωπικών δεδομένων για το Android και την επιφάνεια εργασίας, υποστηρίζοντας επαφές και ημερολόγια
Nomadic social network server|Νομαδικό διακομιστή κοινωνικού δικτύου
Change background|Αλλαγή φόντου
Diagnostics|Διαγνωστικά
Please wait while your app is installing|Περιμένετε μέχρι να εγκατασταθεί η εφαρμογή σας
The app could not be installed|Δεν ήταν δυνατή η εγκατάσταση της εφαρμογής
Add a new member|Προσθέστε ένα νέο μέλος
Kanban focussed on simplicity and minimalism|Ο Kanban επικεντρώθηκε στην απλότητα και τον μινιμαλισμό
Emails, chat or social network posts will be blocked if they contain the following words or phrases|Τα μηνύματα ηλεκτρονικού ταχυδρομείου, οι συνομιλίες ή οι αναρτήσεις κοινωνικού δικτύου θα αποκλειστούν εάν περιέχουν τις ακόλουθες λέξεις ή φράσεις
Muted words|Μειωμένες λέξεις
Disk space is getting too low. Installation stopped.|Ο χώρος στο δίσκο είναι πολύ χαμηλός. Η εγκατάσταση σταμάτησε.
Password changed|Ο κωδικός άλλαξε
Play media from any UPNP/DLNA device on your local network|Αναπαραγωγή μέσων από οποιαδήποτε συσκευή UPNP / DLNA στο τοπικό σας δίκτυο
This allows you to play media on any DLNA supporting device within your local network.|Αυτό σας επιτρέπει να αναπαράγετε πολυμέσα σε οποιαδήποτε συσκευή υποστήριξης DLNA στο τοπικό σας δίκτυο.
No Access Control|Δεν υπάρχει έλεγχος πρόσβασης
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|Το DLNA δεν διαθέτει κανένα στοιχείο ελέγχου πρόσβασης, οπότε λάβετε υπόψη ότι όποιος διαθέτει κινητή συσκευή ή φορητό υπολογιστή στο τοπικό σας δίκτυο είναι πιθανώς σε θέση να παίξει οποιοδήποτε μέσο στο διακομιστή. Ως εκ τούτου, αυτό ενδέχεται να μην είναι κατάλληλο για καταστάσεις όπου θέλετε να έχετε γονικό έλεγχο σε ποια μέσα μπορούν να αποκτήσουν πρόσβαση.
Adding Media|Προσθήκη μέσων
You can add media by selecting the settings button from the DLNA app.|Μπορείτε να προσθέσετε μέσα εκτύπωσης επιλέγοντας το κουμπί ρυθμίσεων από την εφαρμογή DLNA.
Your homepage can also be accessed with a Tor browser on:|Μπορείτε επίσης να έχετε πρόσβαση στην αρχική σας σελίδα με ένα πρόγραμμα περιήγησης Tor:
Chat|Συνομιλία
Media|ΜΜΕ
Social|Κοινωνική
Sync|Συγχρονισμός
Publishing|Εκδόσεις
Other|Άλλα
Recommended Firefox Add-ons:|Συνιστώμενα πρόσθετα για το Firefox:
Change your default domain name|Αλλάξτε το προεπιλεγμένο όνομα τομέα
Do you want to change your default domain name to:|Θέλετε να αλλάξετε το προεπιλεγμένο όνομα τομέα σας σε:
rsync failed|rsync απέτυχε
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|Για τους περισσότερους σκοπούς, το Synsthing είναι ένα πιο εύκολο σύστημα συγχρονισμού αρχείων, αλλά το rsync εξακολουθεί να είναι μια αξιόπιστη λύση αν προτιμάτε να κάνετε τα πράγματα με τον πιο παραδοσιακό τρόπο ή απλά θέλετε να δημιουργήσετε έναν καθρέφτη από έναν υπάρχοντα διακομιστή rsync.
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Το Rsync δεν είναι κρυπτογραφημένο, αλλά μπορεί να χρησιμοποιηθεί μέσω μιας διεύθυνσης κρεμμυδιού για την ασφάλεια των μεταφορών. Εάν το χρησιμοποιείτε μέσω του ονόματος τομέα σας, τότε τρίτα μέρη θα μπορούν να δουν το περιεχόμενο, αλλά αυτό μπορεί να μην έχει σημασία αν συγχρονίζετε ήδη δημόσια αρχεία, όπως downloads του GNU / Linux distro.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|Αποφύγετε να το χρησιμοποιείτε για ιδιωτικά δεδομένα, εκτός αν χρησιμοποιείτε αποκλειστικά rsync μέσω της διεύθυνσης κρεμμυδιού.
Creating a Mirror|Δημιουργία καθρέφτη
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Επιλέξτε το κουμπί Ρυθμίσεις και, στη συνέχεια, εισάγετε τον τομέα και το όνομα της μονάδας για τον καθρέφτη. Από τότε ο συγχρονισμός θα συμβεί μία φορά την ημέρα.
Local Sync|Τοπικό συγχρονισμό
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Εάν δημιουργήσατε έναν καθρέφτη στον διακομιστή σας, μπορείτε στη συνέχεια να συγχρονίσετε τα αρχεία αυτά σε άλλα μηχανήματα ή συσκευές στο τοπικό σας δίκτυο ως εξής:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Εάν το "libreserver" δεν λειτουργεί τότε μπορείτε να αντικαταστήσετε την τοπική διεύθυνση IP του διακομιστή σας.
Create a mirror of public files|Δημιουργήστε έναν καθρέφτη των δημόσιων αρχείων
The domain name could not be changed|Το όνομα τομέα δεν ήταν δυνατό να αλλάξει
This might be because you do not have ports 80 and 443 forwarded to the server.|Αυτό μπορεί να οφείλεται στο γεγονός ότι δεν έχετε προωθήσει τις θύρες 80 και 443 στο διακομιστή.
Check the port forwarding settings on your internet router.|Ελέγξτε τις ρυθμίσεις προώθησης θύρας στον δρομολογητή σας στο διαδίκτυο.
Please specify a domain name which will be used for your email or XMPP address.|Προσδιορίστε ένα όνομα τομέα που θα χρησιμοποιηθεί για τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας ή τη διεύθυνση XMPP.
Please forward the following ports from your internet router:|Μεταφέρετε τις ακόλουθες θύρες από τον δρομολογητή σας στο διαδίκτυο:
Search for 'Barcode Scanner', then select 'install'|Αναζήτηση για 'Barcode Scanner', στη συνέχεια επιλέξτε 'install'
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Κάντε λήψη του αρχείου apk DarkMessenger μέσω του παρακάτω συνδέσμου, κατά προτίμηση χρησιμοποιώντας ένα πρόγραμμα περιήγησης που βασίζεται σε Tor και στη συνέχεια το εγκαταστήσετε
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Εκτελέστε το DarkMessenger και θα εμφανιστεί η αρχική ρύθμιση λογαριασμού. Το DarkMessenger επιτρέπει μόνο τη χρήση των διευθύνσεων κρεμμυδιού για τη δημιουργία λογαριασμών
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Μπορείτε να αποκτήσετε τη διεύθυνση XMPP κρεμμυδιού από την ενότητα Μέλη μέσα στην διεπαφή ιστού, συνήθως στη διεύθυνση http: // libreserver / admin ή http: //libreserver.local/admin. Αν δεν μπορείτε εύκολα να την αντιγράψετε και να την επικολλήσετε στη ρύθμιση του λογαριασμού στο DarkMessenger τότε μπορείτε να χρησιμοποιήσετε τον σαρωτή γραμμωτού κώδικα στο QRCode που εμφανίζεται
Enter the password which you stored during initial setup of the system and also the onion domain|Καταχωρίστε τον κωδικό πρόσβασης που αποθηκεύσατε κατά την αρχική εγκατάσταση του συστήματος καθώς και τον τομέα του κρεμμυδιού
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Θα πρέπει τώρα να είστε σε θέση να συνδεθείτε με το λογαριασμό XMPP του κρεμμυδιού σας και να ορίσετε μια εικόνα avatar εάν είναι απαραίτητο
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Όταν στέλνετε ή λαμβάνετε εικόνες ή άλλα συνημμένα για πρώτη φορά, θα χρειαστεί να αποδεχτείτε τα πιστοποιητικά που έχετε υπογράψει αυτόματα. Επιλέξτε "πάντα" δύο φορές. Αυτό πρέπει να γίνεται μόνο μία φορά ανά επαφή
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Στην περιοχή Ρυθμίσεις / Εμπειρογνώμονας μπορεί να θέλετε να αλλάξετε την περίοδο αυτόματης διαγραφής μηνυμάτων. Από προεπιλογή, αυτή είναι μία ημέρα
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Κατά την οργάνωση μιας ομαδικής συνομιλίας, βεβαιωθείτε πρώτα ότι έχετε ξεχωριστά επιβεβαιώσει την ανταλλαγή μηνυμάτων σε δύο μέρη με καθένα από τους συμμετέχοντες ξεχωριστά
Enable strict TLS authentication between XMPP servers?|Ενεργοποίηση αυστηρού ελέγχου ταυτότητας TLS μεταξύ διακομιστών XMPP;
If you or other people are having difficulty joining multi-user chat then enabling this might help|Αν εσείς ή άλλοι άνθρωποι δυσκολεύεστε να συμμετάσχετε στη συζήτηση για πολλούς χρήστες, ενεργοποιήστε τη λειτουργία αυτή
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Η μουσική μπορεί να μεταφορτωθεί χρησιμοποιώντας το Nextcloud. Εγκαταστήστε την εφαρμογή και, στη συνέχεια, δημιουργήστε έναν κατάλογο που ονομάζεται "Μουσική".
Drag your files into the Music directory and they will then become available to mpd.|Μεταφέρετε τα αρχεία σας στον κατάλογο Μουσική και στη συνέχεια θα είναι διαθέσιμα στο mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Επιλέξτε αναζήτηση (μεγεθυντικό φακό) και αναζητήστε το 'MALP', στη συνέχεια επιλέξτε 'install'
Open MALP and from the settings select Profiles|Ανοίξτε το MALP και από τις ρυθμίσεις επιλέξτε Προφίλ
Enter the following settings:|Εισαγάγετε τις ακόλουθες ρυθμίσεις:
Save the settings by selecting the disk icon at the top right of the screen|Αποθηκεύστε τις ρυθμίσεις επιλέγοντας το εικονίδιο του δίσκου στην επάνω δεξιά γωνία της οθόνης
You should now be able to connect to mpd on your server and select and play albums.|Θα πρέπει τώρα να μπορείτε να συνδεθείτε με το mpd στο διακομιστή σας και να επιλέξετε και να αναπαραγάγετε άλμπουμ.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Σε ένα πρόγραμμα περιήγησης που δεν ανήκει στο Tor περιηγηθείτε στο http: // libreserver: 8250 ή http: // [server local IP address]: 8250 και θα πρέπει να είστε σε θέση να παίξετε το επιλεγμένο άλμπουμ.
Setting up on the desktop|Εγκατάσταση στην επιφάνεια εργασίας
Install Sonata|Εγκαταστήστε το Sonata
Run Sonata and enter the following settings:|Εκτελέστε Sonata και εισαγάγετε τις ακόλουθες ρυθμίσεις:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Θα πρέπει τώρα να βλέπετε τα άλμπουμ σας και να μπορείτε να τα προσθέσετε στην τρέχουσα λίστα.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Σε ένα πρόγραμμα περιήγησης που δεν ανήκει στο Tor περιηγηθείτε στο http: // libreserver: 8250 ή http: // [server local IP address]: 8250 και θα πρέπει να είστε σε θέση να παίξετε το επιλεγμένο άλμπουμ.
Select your music file format:|Επιλέξτε τη μορφή αρχείου μουσικής:
pixelfed allow new registrations|pixelfed επιτρέπουν νέες εγγραφές
Groceries and household management|Παντοπωλεία και διαχείριση νοικοκυριού
Organization|Οργάνωση
VPN domain or IP address:|Τομέας VPN ή διεύθυνση IP:
VPN public key:|Δημόσιο κλειδί VPN:
Public key for this server:|Δημόσιο κλειδί για αυτόν τον διακομιστή:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Δημόσια κλειδιά για φορητούς υπολογιστές ή συσκευές που θέλετε να μπορείτε να χρησιμοποιήσετε αυτό το διακομιστή για σύνδεση στο διαδίκτυο.
Network|Δίκτυο
Set your coordinates on the map|Ορίστε τις συντεταγμένες σας στο χάρτη
Longitude:|Γεωγραφικό μήκος:
Latitude:|Γεωγραφικό πλάτος:
Join|Συμμετοχή
Docs|Έγγραφα
Community network map is being generated|Δημιουργείται κοινοτικός χάρτης δικτύου
Please wait|Παρακαλώ περιμένετε
IP address (optional):|Διεύθυνση IP (προαιρετικό):
Export|Εξαγωγή
Add a new community network node|Προσθέστε έναν νέο κόμβο δικτύου κοινότητας
Remove a community network node|Καταργήστε έναν κόμβο δικτύου κοινότητας
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Αλλάξτε μόνο αυτό αν ξέρετε τι κάνετε. Η επιλογή ενός λανθασμένου πρωτοκόλλου μπορεί να κάνει τον διακομιστή σας να εξαφανιστεί από το δίκτυο και να είναι δύσκολο να ανακτηθεί
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ΠΡΟΕΙΔΟΠΟΙΗΣΗ: Αλλάξτε μόνο αυτό αν ξέρετε τι κάνετε. Η ρύθμιση μιας λανθασμένης διεύθυνσης IP ή πύλης μπορεί να προκαλέσει την απροσπέλαστη πρόσβαση του διακομιστή σας και μπορεί να είναι δύσκολο να ανακτηθεί
Choose your network:|Επιλέξτε το δίκτυό σας:
Language is being changed|Η γλώσσα αλλάζει
Community Network|Κοινοτικό δίκτυο
Theme is being changed|Το θέμα αλλάζει
Install a new app|Εγκαταστήστε μια νέα εφαρμογή
Restore APPNAME from backup?|Επαναφορά του APPNAME από το αντίγραφο ασφαλείας;
Add or remove feeds|Προσθήκη ή κατάργηση ροών
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Καταχωρίστε μια διεύθυνση URL ροής RSS για προσθήκη ή κατάργηση. Το όνομα τομέα είναι αρκετό για την κατάργηση.
Show onion address|Δείξτε τη διεύθυνση κρεμμυδιού
Multi User Dungeon from the era of Welsh mainframe computing|Multi Dungeon χρήστη από την εποχή της ουαλικής υπολογιστικής mainframe
Forward the UDP port 5100 from your internet router|Προωθήστε τη θύρα UDP 5100 από τον δρομολογητή σας στο διαδίκτυο
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Δεδομένου ότι αυτή η εφαρμογή χρησιμοποιεί μόνο το πρωτόκολλο UDP, δεν θα λειτουργήσει μέσω μιας διεύθυνσης κρεμμυδιού. Εάν τρέχετε το κρεμμύδι μόνο η έκδοση του LibreServer τότε χρησιμοποιήστε την τοπική διεύθυνση IP (συνήθως 192.168.1.x) για να συνδεθείτε στο παιχνίδι στην παραπάνω θύρα.
Near infinite world block sandbox game|Κοντά στο απέραντο παιχνίδι του sandbox στον κόσμο
Federation List|Λίστα Ομοσπονδιών
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Προσθέστε ή αφαιρέστε τα ονόματα τομέα για τις περιπτώσεις με τις οποίες θέλετε να ομοσπονδιακά. Μην συμπεριλάβετε τα δικά σας ονόματα τομέα.
Notify via|Ειδοποίηση μέσω
Receive admin notifications|Λήψη ειδοποιήσεων διαχειριστή
New calendar event|Νέο συμβάν ημερολογίου
New direct message|Νέο άμεσο μήνυμα
New reply|Νέα απάντηση
New shared item|Νέο κοινόχρηστο στοιχείο
New follow request|Νέο αίτημα παρακολούθησης
Number of connections on HTTP port is high|Ο αριθμός συνδέσεων στη θύρα HTTP είναι υψηλός
Number of connections on HTTPS port is high|Ο αριθμός συνδέσεων στη θύρα HTTPS είναι υψηλός
Cryptpad allow new signups|Το Cryptpad επιτρέπει νέες εγγραφές
Name of the Dungeon Master|Όνομα του Δασκάλου Δάσκαλος
Message Of The Day|Μήνυμα της ημέρας
port|θύρα δικτύου
Server Password|Κωδικός πρόσβασης διακομιστή
DNS over TLS|DNS μέσω TLS
IP Address|Διεύθυνση IP
New git patch|Νέο έμπλαστρο git
liked your post|μου άρεσε η ανάρτησή σας
IRC Password|Κωδικός πρόσβασης IRC
Reaction by|Αντίδραση από
