About|Noin
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Kun lähetät tai vastaanotat kuvia tai muita liitetiedostoja ensimmäistä kertaa, sinun on hyväksyttävä itse allekirjoitetut varmenteet. Valitse "aina" kahdesti. Tämä tulisi tapahtua vain kerran kontaktissa
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Asetukset / Asiantuntija -kohdassa voit halutessasi muuttaa automaattista viestin poistoaikaa. Oletuksena tämä on yksi päivä
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Kun ryhmäkeskustelu asetetaan, varmista ensin, että olet vahvistanut erikseen kahden osapuolen viestit jokaisen osanottajan kanssa
Enable strict TLS authentication between XMPP servers?|Ota käyttöön tiukka TLS-todennus XMPP-palvelimien välillä?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Jos sinulla tai muilla henkilöillä on vaikeuksia liittyä monen käyttäjän keskusteluun, tämä voi auttaa
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Musiikki voidaan ladata NextCloudin avulla. Asenna sovellus ja luo sitten hakemisto nimeltä ”Musiikki”.
Drag your files into the Music directory and they will then become available to mpd.|Vedä tiedostot Musiikki-hakemistoon ja ne tulevat sitten saataville mpd: lle.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Valitse haku (suurennuslasin kuvake) ja etsi "MALP", valitse "asenna"
Open MALP and from the settings select Profiles|Avaa MALP ja valitse asetukset Profiilit
Enter the following settings:|Anna seuraavat asetukset:
Save the settings by selecting the disk icon at the top right of the screen|Tallenna asetukset valitsemalla näytön oikeassa yläkulmassa oleva levykuvake
You should now be able to connect to mpd on your server and select and play albums.|Nyt sinun pitäisi pystyä muodostamaan yhteys palvelimellesi mpd: ään ja valitsemaan ja toistamaan albumeita.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Ei-Tor-selaimessa siirry osoitteeseen http: // libreserver: 8250 tai http: // [palvelimen paikallinen IP-osoite]: 8250 ja sinun pitäisi pystyä toistamaan valittu albumi.
Setting up on the desktop|Asennus työpöydälle
Install Sonata|Asenna Sonata
Run Sonata and enter the following settings:|Suorita Sonata ja anna seuraavat asetukset:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Nyt sinun pitäisi pystyä näkemään luetellut albumisi ja lisäämään ne parhaillaan toistettavaan luetteloon.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Ei-Tor-selaimessa siirry osoitteeseen http: // libreserver: 8250 tai http: // [palvelimen paikallinen IP-osoite]: 8250 ja sinun pitäisi pystyä toistamaan valittu albumi.
Select your music file format:|Valitse musiikkitiedostomuoto:
pixelfed allow new registrations|pixelfed sallii uusien rekisteröintien
Groceries and household management|Elintarvikkeet ja kotitalouden hallinta
Organization|organisaatio
VPN domain or IP address:|VPN-verkkotunnus tai IP-osoite:
VPN public key:|VPN-julkinen avain:
Public key for this server:|Tämän palvelimen julkinen avain:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Julkiset avaimet kannettaville tietokoneille tai laitteille, joita haluat käyttää palvelimella Internet-yhteyden muodostamiseen.
Network|verkko
Set your coordinates on the map|Aseta koordinaatit kartalle
Longitude:|pituusaste:
Latitude:|Latitude:
Join|Liittyä seuraan
Docs|Docs
Community network map is being generated|Yhteisön verkkokarttaa luodaan
Please wait|Odota
IP address (optional):|IP-osoite (valinnainen):
Export|Viedä
Add a new community network node|Lisää uusi yhteisöverkon solmu
Remove a community network node|Poista yhteisöverkon solmu
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|VAROITUS: Muuta tätä vain, jos tiedät, mitä olet tekemässä. Väärän verkkoprotokollan valinta voi tehdä palvelimellesi katoamasta verkosta ja olla vaikeasti palautettavissa
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|VAROITUS: Muuta tätä vain, jos tiedät, mitä olet tekemässä. Virheellisen IP-osoitteen tai yhdyskäytävän asettaminen saattaa aiheuttaa sen, että palvelin ei pääse käsiksi, ja se voi olla vaikea palauttaa
Choose your network:|Valitse verkko:
Language is being changed|Kieli muuttuu
Community Network|Yhteisön verkosto
Theme is being changed|Teemaa muutetaan
Install a new app|Asenna uusi sovellus
Restore APPNAME from backup?|Palauta APPNAME varmuuskopiosta?
Add or remove feeds|Lisää tai poista syötteitä
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Anna RSS-syötteen URL-osoite, jonka haluat lisätä tai poistaa. Verkkotunnuksen nimi riittää muuttoihin.
Show onion address|Näytä sipulin osoite
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon Welsh-mainframe -tietokoneen aikakaudelta
Forward the UDP port 5100 from your internet router|Välitä UDP-portti 5100 Internet-reitittimestäsi
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Koska tämä sovellus käyttää vain UDP-protokollaa, se ei toimi sipuliosoitteen kautta. Jos käytät vain Freedombonin sipuliversiota, käytä sen paikallista IP-osoitetta (yleensä 192.168.1.x) muodostaaksesi yhteyden peliin yllä olevassa portissa.
Near infinite world block sandbox game|Lähellä ääretön maailmanlohkon hiekkalaatikkopeli
Federation List|Yhdistysluettelo
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Lisää tai poista verkkotunnuksia sellaisiin tilanteisiin, joiden kanssa haluat yhdistää. Älä lisää omia verkkotunnuksia.
Notify via|Ilmoita kautta
Receive admin notifications|Vastaanota järjestelmänvalvojan ilmoituksia
New calendar event|Uusi kalenteritapahtuma
New direct message|Uusi suora viesti
New reply|Uusi vastaus
New shared item|Uusi jaettu kohde
New follow request|Uusi seuraa pyyntö
Number of connections on HTTP port is high|Yhteyksien määrä HTTP-portissa on suuri
Number of connections on HTTPS port is high|Yhteyksien määrä HTTPS-portissa on suuri
Cryptpad allow new signups|Salaustekniikka sallii uusien rekisteröintien
Name of the Dungeon Master|Dungeon-päällikön nimi
Message Of The Day|Päivän viesti
port|verkkoportti
Server Password|Palvelin salasana
DNS over TLS|DNS TLS: n kautta
IP Address|IP-osoite
New git patch|Uusi git-laastari
liked your post|piti viestistäsi
IRC Password|IRC-salasana
