About|hakkında
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Soğan XMPP adresinizi web arayüzündeki Üyeler bölümünden, genellikle http: // libreserver / admin veya http: //libreserver.local/admin adresinde bulabilirsiniz. Kolayca kopyalayıp DarkMessenger içindeki hesap kurulumuna yapıştıramazsanız, görüntülenen QRcode üzerindeki barkod tarayıcıyı kullanabilirsiniz.
Enter the password which you stored during initial setup of the system and also the onion domain|Sistemin ilk kurulumunda kaydettiğiniz şifreyi ve ayrıca soğan alanını girin
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Artık soğan XMPP hesabınıza bağlanabilmeli ve gerekirse bir avatar resmi oluşturabilmelisiniz
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|İlk defa resim veya diğer ekleri gönderirken veya alırken, kendinden imzalı sertifikaları kabul etmeniz gerekir. İki kere 'her zaman' seçeneğini seçin. Bu, temas başına yalnızca bir kez yapılmalıdır
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Ayarlar / Uzman altında otomatik mesaj silme periyodunu değiştirmek isteyebilirsiniz. Varsayılan olarak bu bir gün
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Bir grup sohbeti kurarken, öncelikle katılımcıların her biriyle ayrı ayrı iki yönlü mesajlaşmayı ayrı ayrı onayladığınızdan emin olun.
Enable strict TLS authentication between XMPP servers?|XMPP sunucuları arasında katı TLS kimlik doğrulaması etkinleştirilsin mi?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Siz veya diğer kişiler çok kullanıcılı sohbete katılmakta zorluk çekiyorsanız, bunu etkinleştirmek yardımcı olabilir
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Müzik Nextcloud kullanılarak yüklenebilir. Uygulamayı yükleyin ve ardından 'Müzik' adlı bir dizin oluşturun.
Drag your files into the Music directory and they will then become available to mpd.|Dosyalarınızı Müzik dizinine sürükleyin, sonra mpd için uygun olacaktır.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Ara'yı (büyüteç simgesini) seçin ve 'MALP'i arayın, ardından' install 'seçeneğini seçin
Open MALP and from the settings select Profiles|MALP’i açın ve ayarlardan Profiller’i seçin.
Enter the following settings:|Aşağıdaki ayarları girin:
Save the settings by selecting the disk icon at the top right of the screen|Ekranın sağ üst köşesindeki disk simgesini seçerek ayarları kaydedin
You should now be able to connect to mpd on your server and select and play albums.|Artık sunucunuzdaki mpd'ye bağlanabilmeli ve albümleri seçip oynatabiliyor olmalısınız.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Tor olmayan bir tarayıcıda http: // libreserver: 8250 veya http: // [sunucu yerel IP adresi]: 8250'ye gidin ve seçilen albümü çalabilmeniz gerekir.
Setting up on the desktop|Masaüstünde ayarlama
Install Sonata|Sonata'yı yükleyin
Run Sonata and enter the following settings:|Sonata'yı çalıştırın ve aşağıdaki ayarları girin:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Artık albümlerinizi listede görebilmeli ve bunları geçerli çalma listesine ekleyebilmelisiniz.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Tor olmayan bir tarayıcıda http: // libreserver: 8250 veya http: // [sunucu yerel IP adresi]: 8250'ye gidin ve seçilen albümü çalabilmeniz gerekir.
Select your music file format:|Müzik dosya biçiminizi seçin:
pixelfed allow new registrations|pixelfed yeni kayıtlara izin veriyor
Groceries and household management|Bakkaliye ve ev yönetimi
Organization|organizasyon
VPN domain or IP address:|VPN etki alanı veya IP adresi:
VPN public key:|VPN ortak anahtarı:
Public key for this server:|Bu sunucu için genel anahtar:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|İnternete bağlanmak için bu sunucuyu kullanabilmek istediğiniz dizüstü bilgisayarlar veya cihazlar için genel anahtarlar.
Network|Ağ
Set your coordinates on the map|Koordinatlarınızı haritaya yerleştirin
Longitude:|Boylam:
Latitude:|Enlem:
Join|Katılmak
Docs|Dokümanlar
Community network map is being generated|Topluluk ağ haritası oluşturuluyor
Please wait|Lütfen bekle
IP address (optional):|IP adresi (isteğe bağlı):
Export|ihracat
Add a new community network node|Yeni bir topluluk ağı düğümü ekle
Remove a community network node|Topluluk ağı düğümünü kaldır
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|UYARI: Bunu sadece ne yaptığınızı biliyorsanız değiştirin. Yanlış ağ protokolünü seçmek, sunucunuzun ağdan kaybolmasına neden olabilir ve kurtarılması zor olabilir.
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|UYARI: Bunu sadece ne yaptığınızı biliyorsanız değiştirin. Yanlış bir IP adresi veya ağ geçidi belirlemek, sunucunuzun erişilememesine neden olabilir ve kurtarılması zor olabilir
Choose your network:|Ağınızı seçin:
Language is being changed|Dil değişiyor
Community Network|Topluluk Ağı
Theme is being changed|Tema değişiyor
Install a new app|Yeni bir uygulama yükle
Restore APPNAME from backup?|APPNAME yedeklemeden geri yüklensin mi?
Add or remove feeds|Yayın ekle veya kaldır
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Eklemek veya kaldırmak için bir RSS besleme URL'si girin. Etki alanı adı, kaldırma işlemleri için yeterli.
Show onion address|Soğan adresini göster
Multi User Dungeon from the era of Welsh mainframe computing|Welsh anabilgisayar bilgisayar çağında Çoklu Kullanıcı Dungeon
Forward the UDP port 5100 from your internet router|UDP bağlantı noktasını 5100 İnternet yönlendiricinizden yönlendirin
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Bu uygulama sadece UDP protokolünü kullandığından, bir soğan adresi aracılığıyla çalışmaz. Soğanı LibreServer'un sadece bir sürümünü kullanıyorsanız, yukarıdaki porttaki oyuna bağlanmak için yerel IP adresini (genellikle 192.168.1.x) kullanın.
Near infinite world block sandbox game|Yakın sonsuz dünya bloğu sandbox oyunu
Federation List|Federasyon Listesi
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Federasyon yapmak istediğiniz örnekler için alan adları ekleyin veya kaldırın. Kendi etki alanı adlarınızı eklemeyin.
Notify via|Üzerinden bildir
Receive admin notifications|Yönetici bildirimleri alın
New calendar event|Yeni takvim etkinliği
New direct message|Yeni doğrudan mesaj
New reply|Yeni cevap
New shared item|Yeni paylaşılan öğe
New follow request|Yeni takip isteği
Number of connections on HTTP port is high|HTTP bağlantı noktasındaki bağlantı sayısı yüksek
Number of connections on HTTPS port is high|HTTPS bağlantı noktasındaki bağlantı sayısı yüksek
Cryptpad allow new signups|Cryptpad yeni kayıtlara izin veriyor
Name of the Dungeon Master|Zindan Efendisinin Adı
Message Of The Day|Günün mesajı
port|ağ bağlantı noktası
Server Password|Sunucu şifresi
DNS over TLS|TLS üzerinden DNS
IP Address|IP adresi
New git patch|Yeni git yaması
liked your post|gönderinizi beğendim
IRC Password|IRC şifresi
Reaction by|Tarafından tepki
ssh connections too high|ssh bağlantıları çok yüksek
