About|حول
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync غير مشفر ولكن يمكن استخدامه عن طريق عنوان بصلي لأمان النقل. إذا كنت تستخدمه عبر اسم نطاقك ، فسيتمكن الأطراف الثالثة من رؤية المحتوى ، ولكن قد لا يهم هذا ما إذا كنت تقوم بمزامنة ملفات عامة بالفعل ، مثل تنزيلات توزيعة جنو / لينكس.
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|تجنب استخدام هذا للبيانات الخاصة ، إلا إذا كنت تستخدم rsync حصريًا عبر عنوان البصل.
Creating a Mirror|خلق مرآة
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|حدد زر الإعدادات ثم أدخل اسم المجال واسم الوحدة النمطية للمرآة. من ذلك الحين سيحدث التزامن مرة واحدة في اليوم.
Local Sync|المزامنة المحلية
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|إذا قمت بإنشاء نسخة متطابقة إلى خادمك ، فيمكنك حينئذٍ مزامنة هذه الملفات مع أجهزة أو أجهزة أخرى على شبكتك المحلية على النحو التالي:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|إذا لم يعمل "libreserver" ، فيمكنك استبدال عنوان IP المحلي الخاص بخادمك.
Create a mirror of public files|إنشاء مرآة للملفات العامة
The domain name could not be changed|لا يمكن تغيير اسم المجال
This might be because you do not have ports 80 and 443 forwarded to the server.|قد يكون ذلك بسبب عدم وجود المنافذ 80 و 443 التي تم إعادة توجيهها إلى الخادم.
Check the port forwarding settings on your internet router.|تحقق من إعدادات إعادة توجيه المنفذ على جهاز توجيه الإنترنت الخاص بك.
Please specify a domain name which will be used for your email or XMPP address.|يرجى تحديد اسم النطاق الذي سيتم استخدامه لبريدك الإلكتروني أو عنوان XMPP.
Please forward the following ports from your internet router:|يرجى إعادة توجيه المنافذ التالية من موجه الإنترنت الخاص بك:
Search for 'Barcode Scanner', then select 'install'|ابحث عن "ماسح الباركود" ، ثم اختر "تثبيت"
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|قم بتنزيل ملف APK DarkMessenger عبر الرابط أدناه ، ويفضل استخدام متصفح Tor ، ثم قم بتثبيته
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|تشغيل DarkMessenger وسيتم عرض الإعداد الأولي للحساب. لا يسمح DarkMessenger فقط باستخدام عناوين البصلة لإنشاء حسابات
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|يمكنك الحصول على عنوان XMPP الخاص بالبداية من قسم الأعضاء داخل واجهة الويب ، عادةً على http: // libreserver / admin أو http: //libreserver.local/admin. إذا لم تتمكن من نسخها ولصقها بسهولة في إعداد الحساب داخل DarkMessenger ، فيمكنك عندئذٍ استخدام ماسح الباركود على QRcode
Enter the password which you stored during initial setup of the system and also the onion domain|أدخل كلمة المرور التي قمت بحفظها أثناء الإعداد الأولي للنظام وكذلك نطاق البصل
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|يجب أن تكون الآن قادرًا على الاتصال بحساب XMPP الخاص بآيك وتعيين صورة رمزية إذا لزم الأمر
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|عند إرسال أو استلام الصور أو المرفقات الأخرى لأول مرة ، ستحتاج إلى قبول الشهادات الموقعة ذاتياً. اختر "دائما" مرتين. يجب أن يحدث هذا مرة واحدة فقط لكل جهة اتصال
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|ضمن الإعدادات / الخبير ، قد ترغب في تغيير فترة حذف الرسالة تلقائيًا. افتراضيا هذا هو يوم واحد
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|عند إعداد دردشة جماعية ، تأكد أولاً من أنك قمت بتأكيد المراسلة بشكل منفرد مع كل مشارك على حدة
Enable strict TLS authentication between XMPP servers?|تمكين مصادقة TLS صارمة بين خوادم XMPP؟
If you or other people are having difficulty joining multi-user chat then enabling this might help|إذا واجهت أنت أو غيرك من الأشخاص صعوبة في الانضمام إلى دردشة متعددة المستخدمين ، فقد يساعدك تمكين ذلك
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|يمكن تحميل الموسيقى باستخدام Nextcloud. ثبّت التطبيق ثم أنشئ دليلًا باسم "الموسيقى".
Drag your files into the Music directory and they will then become available to mpd.|اسحب ملفاتك إلى دليل الموسيقى وسيصبح متاحًا لـ mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|حدد البحث (رمز النظارة المكبرة) وابحث عن "MALP" ، ثم حدد "تثبيت"
Open MALP and from the settings select Profiles|افتح MALP ومن الإعدادات حدد ملفات التعريف
Enter the following settings:|أدخل الإعدادات التالية:
Save the settings by selecting the disk icon at the top right of the screen|احفظ الإعدادات عن طريق تحديد رمز القرص في أعلى يمين الشاشة
You should now be able to connect to mpd on your server and select and play albums.|يجب أن تكون الآن قادرًا على الاتصال بـ mpd على الخادم الخاص بك وتحديد الألبومات وتشغيلها.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|في متصفح غير تور ، انتقل إلى http: // libreserver: 8250 أو http: // [عنوان IP المحلي للخادم]: 8250 ومن المفترض أن تتمكن من تشغيل الألبوم المحدد.
Setting up on the desktop|الإعداد على سطح المكتب
Install Sonata|تثبيت سوناتا
Run Sonata and enter the following settings:|قم بتشغيل Sonata وأدخل الإعدادات التالية:
You should now be able to see your albums listed and be able to add them to the currently playing list.|يجب أن تكون الآن قادرًا على رؤية ألبوماتك المسرودة وتكون قادرة على إضافتها إلى قائمة التشغيل الحالية.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|في متصفح غير تور ، انتقل إلى http: // libreserver: 8250 أو http: // [عنوان IP المحلي للخادم]: 8250 ومن المفترض أن تتمكن من تشغيل الألبوم المحدد.
Select your music file format:|حدد تنسيق ملف الموسيقى الخاص بك:
pixelfed allow new registrations|تسمح pixelfed بالتسجيلات الجديدة
Groceries and household management|البقالة والإدارة المنزلية
Organization|منظمة
VPN domain or IP address:|نطاق VPN أو عنوان IP:
VPN public key:|المفتاح العام لـ VPN:
Public key for this server:|المفتاح العام لهذا الخادم:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|المفاتيح العامة لأجهزة الكمبيوتر المحمولة أو الأجهزة التي ترغب في استخدامها في هذا الخادم للاتصال بالإنترنت.
Network|شبكة الاتصال
Set your coordinates on the map|تعيين الإحداثيات الخاصة بك على الخريطة
Longitude:|خط الطول:
Latitude:|خط العرض:
Join|انضم
Docs|مستندات
Community network map is being generated|يتم إنشاء خريطة شبكة المجتمع
Please wait|ارجوك انتظر
IP address (optional):|عنوان IP (اختياري):
Export|تصدير
Add a new community network node|إضافة عقدة شبكة مجتمع جديدة
Remove a community network node|إزالة عقدة شبكة مجتمع
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|تحذير: فقط قم بتغيير هذا إذا كنت تعرف ما تفعله. قد يؤدي تحديد بروتوكول الشبكة الخاطئ إلى اختفاء الخادم من الشبكة ، وسيكون من الصعب استعادته
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|تحذير: فقط قم بتغيير هذا إذا كنت تعرف ما تفعله. قد يؤدي تعيين عنوان IP أو بوابة غير صحيحة إلى تعذر الوصول إلى الخادم لديك ، وقد يكون من الصعب استعادته
Choose your network:|اختر شبكتك:
Language is being changed|يتم تغيير اللغة
Community Network|شبكة المجتمع
Theme is being changed|يتم تغيير الموضوع
Install a new app|تثبيت تطبيق جديد
Restore APPNAME from backup?|استعادة APPNAME من النسخ الاحتياطي؟
Add or remove feeds|إضافة أو إزالة الخلاصات
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|أدخل عنوان URL لخلاصة RSS لإضافته أو إزالته. اسم المجال يكفي لعمليات الإزالة.
Show onion address|إظهار عنوان البصل
Multi User Dungeon from the era of Welsh mainframe computing|متعدد المستخدمين المحصنة من عصر الحوسبة الويلزية المركزية
Forward the UDP port 5100 from your internet router|أعد توجيه منفذ UDP 5100 من جهاز توجيه الإنترنت الخاص بك
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|نظرًا لأن هذا التطبيق يستخدم بروتوكول UDP فقط ، فلن يعمل عبر عنوان بصل. إذا كنت تقوم بتشغيل إصدار البصل فقط من LibreServer ، فاستخدم عنوان IP المحلي (عادة 192.168.1.x) للاتصال باللعبة على المنفذ أعلاه.
Near infinite world block sandbox game|بالقرب من العالم بلا حدود لعبة رمل بلوك
Federation List|قائمة الاتحاد
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|إضافة أو إزالة أسماء النطاقات للمثيلات التي ترغب في الاتحاد معها. لا تقم بتضمين أسماء النطاقات الخاصة بك.
Notify via|يخطر عبر
Receive admin notifications|تلقي إشعارات المسؤول
New calendar event|حدث تقويم جديد
New direct message|رسالة مباشرة جديدة
New reply|رد جديد
New shared item|عنصر مشترك جديد
New follow request|متابعة طلب جديد
Number of connections on HTTP port is high|عدد الاتصالات على منفذ HTTP مرتفع
Number of connections on HTTPS port is high|عدد الاتصالات على منفذ HTTPS مرتفع
Cryptpad allow new signups|Cryptpad تسمح الاشتراكات الجديدة
Name of the Dungeon Master|اسم سيد المحصنة
Message Of The Day|رسالة اليوم
port|منفذ الشبكة
Server Password|كلمة مرور الخادم
DNS over TLS|DNS عبر TLS
IP Address|عنوان IP
New git patch|تصحيح بوابة جديدة
liked your post|أُعجب بمنشورك
IRC Password|كلمة المرور IRC
Reaction by|رد فعل
