About|Über
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|Klicken Sie auf die Schaltfläche Einstellungen, und geben Sie den Domänen- und Modulnamen für den Spiegel ein. Ab dann erfolgt die Synchronisierung einmal pro Tag.
Local Sync|Lokale Synchronisierung
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|Wenn Sie eine Spiegelung für Ihren Server erstellt haben, können Sie diese Dateien mit anderen Computern oder Geräten in Ihrem lokalen Netzwerk wie folgt synchronisieren:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|Wenn "libreserver" nicht funktioniert, können Sie die lokale IP-Adresse Ihres Servers verwenden.
Create a mirror of public files|Erstellen Sie einen Spiegel öffentlicher Dateien
The domain name could not be changed|Der Domainname konnte nicht geändert werden
This might be because you do not have ports 80 and 443 forwarded to the server.|Möglicherweise haben Sie die Ports 80 und 443 nicht an den Server weitergeleitet.
Check the port forwarding settings on your internet router.|Überprüfen Sie die Einstellungen für die Portweiterleitung an Ihrem Internet-Router.
Please specify a domain name which will be used for your email or XMPP address.|Bitte geben Sie einen Domainnamen an, der für Ihre E-Mail- oder XMPP-Adresse verwendet wird.
Please forward the following ports from your internet router:|Bitte leiten Sie die folgenden Ports von Ihrem Internet-Router weiter:
Search for 'Barcode Scanner', then select 'install'|Suchen Sie nach 'Barcode Scanner' und wählen Sie 'Installieren'.
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|Laden Sie die DarkMessenger-apk-Datei über den folgenden Link herunter, vorzugsweise mit einem Tor-basierten Browser, und installieren Sie sie
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|Starten Sie DarkMessenger und die anfängliche Kontoeinrichtung wird angezeigt. In DarkMessenger können nur Zwiebeladressen zum Erstellen von Konten verwendet werden
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|Sie können Ihre Onion-XMPP-Adresse im Member-Bereich der Webschnittstelle abrufen, normalerweise unter http: // libreserver / admin oder http: //libreserver.local/admin. Wenn Sie es nicht einfach kopieren und in das Konto-Setup von DarkMessenger einfügen können, können Sie den Barcode-Scanner für den angezeigten QR-Code verwenden
Enter the password which you stored during initial setup of the system and also the onion domain|Geben Sie das Passwort ein, das Sie bei der Ersteinrichtung des Systems sowie die Onion-Domäne gespeichert haben
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|Sie sollten jetzt in der Lage sein, eine Verbindung zu Ihrem Onion-XMPP-Konto herzustellen und gegebenenfalls ein Avatar-Bild festzulegen
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|Wenn Sie zum ersten Mal Bilder oder andere Anhänge senden oder empfangen, müssen Sie die selbstsignierten Zertifikate akzeptieren. Wählen Sie 'immer' zweimal. Dies sollte nur einmal pro Kontakt erfolgen
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|Unter Einstellungen / Experte können Sie den Zeitraum für das automatische Löschen von Nachrichten ändern. Standardmäßig ist dies ein Tag
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|Stellen Sie vor dem Einrichten eines Gruppen-Chats sicher, dass Sie die bidirektionale Benachrichtigung mit jedem Teilnehmer separat bestätigt haben
Enable strict TLS authentication between XMPP servers?|Strikte TLS-Authentifizierung zwischen XMPP-Servern aktivieren?
If you or other people are having difficulty joining multi-user chat then enabling this might help|Wenn Sie oder andere Personen Schwierigkeiten haben, am Chat mit mehreren Benutzern teilzunehmen, kann es hilfreich sein, dies zu aktivieren
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Musik kann mit NextCloud hochgeladen werden. Installieren Sie die App und erstellen Sie ein Verzeichnis mit dem Namen "Music".
Drag your files into the Music directory and they will then become available to mpd.|Ziehen Sie Ihre Dateien in das Musikverzeichnis und sie werden dann für mpd verfügbar.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Wählen Sie Suche (Lupensymbol) und suchen Sie nach 'MALP'. Wählen Sie dann 'Installieren'.
Open MALP and from the settings select Profiles|Öffnen Sie MALP und wählen Sie in den Einstellungen die Option Profile
Enter the following settings:|Geben Sie die folgenden Einstellungen ein:
Save the settings by selecting the disk icon at the top right of the screen|Speichern Sie die Einstellungen, indem Sie das Diskettensymbol oben rechts auf dem Bildschirm auswählen
You should now be able to connect to mpd on your server and select and play albums.|Sie sollten sich jetzt mit mpd auf Ihrem Server verbinden und Alben auswählen und abspielen können.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Navigieren Sie in einem Nicht-Tor-Browser zu http: // libreserver: 8250 oder http: // [lokale IP-Adresse des Servers]: 8250 und Sie sollten das ausgewählte Album abspielen können.
Setting up on the desktop|Einrichten auf dem Desktop
Install Sonata|Sonate installieren
Run Sonata and enter the following settings:|Führen Sie Sonata aus und geben Sie die folgenden Einstellungen ein:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Sie sollten jetzt in der Lage sein, Ihre Alben in der Liste anzuzeigen und sie der aktuellen Wiedergabeliste hinzuzufügen.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Navigieren Sie in einem Nicht-Tor-Browser zu http: // libreserver: 8250 oder http: // [lokale IP-Adresse des Servers]: 8250 und Sie sollten das ausgewählte Album abspielen können.
Select your music file format:|Wählen Sie Ihr Musikdateiformat:
pixelfed allow new registrations|pixelfed erlauben neue Registrierungen
Groceries and household management|Lebensmittel und Haushaltsmanagement
Organization|Organisation
VPN domain or IP address:|VPN-Domäne oder IP-Adresse:
VPN public key:|Öffentlicher VPN-Schlüssel:
Public key for this server:|Öffentlicher Schlüssel für diesen Server:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Öffentliche Schlüssel für die Laptops oder Geräte, mit denen Sie diesen Server verwenden möchten, um eine Verbindung zum Internet herzustellen.
Network|Netzwerk
Set your coordinates on the map|Stellen Sie Ihre Koordinaten auf der Karte ein
Longitude:|Längengrad:
Latitude:|Breite:
Join|Beitreten
Docs|Docs
Community network map is being generated|Community-Netzwerkkarte wird erstellt
Please wait|Warten Sie mal
IP address (optional):|IP-Adresse (optional):
Export|Export
Add a new community network node|Fügen Sie einen neuen Community-Netzwerkknoten hinzu
Remove a community network node|Entfernen Sie einen Community-Netzwerkknoten
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|WARNUNG: Ändern Sie dies nur, wenn Sie wissen, was Sie tun. Wenn Sie das falsche Mesh-Protokoll auswählen, wird der Server möglicherweise aus dem Netzwerk entfernt und die Wiederherstellung ist schwierig
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|WARNUNG: Ändern Sie dies nur, wenn Sie wissen, was Sie tun. Das Festlegen einer falschen IP-Adresse oder eines falschen Gateways kann dazu führen, dass der Server nicht mehr erreichbar ist und die Wiederherstellung möglicherweise schwierig ist
Choose your network:|Wähle dein Netzwerk:
Language is being changed|Die Sprache wird geändert
Community Network|Community-Netzwerk
Theme is being changed|Theme wird geändert
Install a new app|Installieren Sie eine neue App
Restore APPNAME from backup?|APPNAME aus dem Backup wiederherstellen?
Add or remove feeds|Feeds hinzufügen oder entfernen
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Geben Sie eine RSS-Feed-URL zum Hinzufügen oder Entfernen ein. Der Domainname reicht zum Entfernen aus.
Show onion address|Zwiebeladresse anzeigen
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon aus der Ära des walisischen Mainframe-Computing
Forward the UDP port 5100 from your internet router|Leiten Sie den UDP-Port 5100 von Ihrem Internet-Router weiter
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Da diese App nur das UDP-Protokoll verwendet, funktioniert sie nicht über eine Zwiebeladresse. Wenn Sie die Onion-Only-Version von LibreServer ausführen, verwenden Sie die lokale IP-Adresse (normalerweise 192.168.1.x), um eine Verbindung zum Spiel am obigen Port herzustellen.
Near infinite world block sandbox game|Nahe unendlich Sandblockspiel der Welt
Federation List|Föderationsliste
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Fügen Sie die Domänennamen für Instanzen hinzu, mit denen Sie einen Verbund herstellen möchten, oder entfernen Sie sie. Fügen Sie keine eigenen Domainnamen hinzu.
Notify via|Benachrichtigen über
Receive admin notifications|Erhalte Admin-Benachrichtigungen
New calendar event|Neues Kalenderereignis
New direct message|Neue Direktnachricht
New reply|Neue Antwort
New shared item|Neues freigegebenes Element
New follow request|Neue Verfolgungsanfrage
Number of connections on HTTP port is high|Die Anzahl der Verbindungen am HTTP-Port ist hoch
Number of connections on HTTPS port is high|Die Anzahl der Verbindungen am HTTPS-Port ist hoch
Cryptpad allow new signups|Cryptpad ermöglicht neue Anmeldungen
Name of the Dungeon Master|Name des Dungeon-Meisters
Message Of The Day|Nachricht des Tages
port|Netzwerkanschluss
Server Password|Server-Passwort
DNS over TLS|DNS über TLS
IP Address|IP Adresse
New git patch|Neuer Git Patch
liked your post|mochte Ihren Beitrag
IRC Password|IRC-Passwort
Reaction by|Reaktion von
ssh connections too high|ssh-verbindungen zu hoch
