about|Di
New shared item|Nuovo oggetto condiviso
New follow request|Nuova richiesta follow
Number of connections on HTTP port is high|Il numero di connessioni sulla porta HTTP è elevato
Number of connections on HTTPS port is high|Il numero di connessioni sulla porta HTTPS è elevato
Cryptpad allow new signups|Cryptpad consente nuove iscrizioni
Name of the Dungeon Master|Nome del Dungeon Master
Message Of The Day|Messaggio Del Giorno
port|porta di rete
Server Password|Password del server
DNS over TLS|DNS su TLS
IP Address|Indirizzo IP
New git patch|Nuova patch git
liked your post|mi è piaciuto il tuo post
IRC Password|Password IRC
Reaction by|Reazione di
ssh connections too high|connessioni ssh troppo alte
