About|के बारे में
Provides a similar capability to proprietary systems such as Dropbox, and also is well suited for use with low power single board computers. You can have one or more directories which are synchronized across your various laptops/desktops/devices, and this makes it hard for you to ever lose important files. Of course, you don't necessarily need to be running a server in order to use Syncthing, but if you do have a server which is always running then there's always at least one place to synchronize your files to or from.|ड्रॉपबॉक्स जैसे स्वामित्व प्रणालियों के लिए समान क्षमता प्रदान करता है, और कम पावर एकल बोर्ड कंप्यूटर के उपयोग के लिए भी उपयुक्त है। आपके पास एक या अधिक निर्देशिकाएं हो सकती हैं जो आपके विभिन्न लैपटॉप / डेस्कटॉप / डिवाइस पर सिंक्रनाइज़ होती हैं, और यह आपके लिए महत्वपूर्ण फ़ाइलों को कभी भी खोना मुश्किल बनाता है। बेशक, आपको सिंकिंग का उपयोग करने के लिए सर्वर चलाने की आवश्यकता नहीं है, लेकिन यदि आपके पास एक सर्वर है जो हमेशा चल रहा है तो हमेशा आपकी फ़ाइलों को सिंक्रनाइज़ करने के लिए कम से कम एक स्थान होता है।
On a Debian based system:|डेबियन आधारित प्रणाली पर:
Or on Android search for the Syncthing app.|या Syncthing ऐप के लिए एंड्रॉइड खोज पर।
Using the settings button within the LibreServer web interface for the Syncthing app you can then paste in any IDs for other devices. They will then sync with your server.|Syncthing ऐप के लिए LibreServer वेब इंटरफ़ेस के भीतर सेटिंग्स बटन का उपयोग करके आप अन्य उपकरणों के लिए किसी भी आईडी में पेस्ट कर सकते हैं। फिर वे आपके सर्वर के साथ सिंक करेंगे।
A system for privately creating and sharing notes and images, similar to Evernote. It can be set up so that a small number of users on the server can share their notes in a convenient way. It doesn't have any web user interface, and you need to install native clients on mobile or laptop/desktop machines.|Evernote के समान, नोट्स और छवियों को निजी रूप से बनाने और साझा करने के लिए एक प्रणाली। इसे स्थापित किया जा सकता है ताकि सर्वर पर उपयोगकर्ताओं की एक छोटी संख्या उनके नोट्स को सुविधाजनक तरीके से साझा कर सके। इसमें कोई वेब उपयोगकर्ता इंटरफ़ेस नहीं है, और आपको मूल क्लाइंट को मोबाइल या लैपटॉप / डेस्कटॉप मशीनों पर स्थापित करने की आवश्यकता है।
Since the data at rest is stored in PGP encrypted format this is a good system to use in cases where security really is a critical factor.|चूंकि बाकी हिस्सों को पीजीपी एन्क्रिप्टेड प्रारूप में संग्रहीत किया जाता है, इसलिए यह उन मामलों में उपयोग करने के लिए एक अच्छी प्रणाली है जहां सुरक्षा वास्तव में एक महत्वपूर्ण कारक है।
Go to https://turtlapp.com/download and you'll then be able to download the appropriate app for your laptop or phone.|Https://turtlapp.com/download पर जाएं और फिर आप अपने लैपटॉप या फोन के लिए उचित ऐप डाउनलोड कर पाएंगे।
Run the downloaded native app then at the bottom of the screen select "advanced settings" and enter your turl domain name, then register a new account. The password can be anything you choose, but since the client side encryption depends upon having a good password make it a long random string generated by a password manager such as KeepassX.|स्क्रीन के निचले हिस्से में डाउनलोड किए गए देशी ऐप को चलाएं "उन्नत सेटिंग्स" का चयन करें और अपना टर्नल डोमेन नाम दर्ज करें, फिर नया खाता पंजीकृत करें। पासवर्ड आपके द्वारा चुने गए कुछ भी हो सकते हैं, लेकिन चूंकि क्लाइंट साइड एन्क्रिप्शन एक अच्छा पासवर्ड रखने पर निर्भर करता है, इसलिए इसे एक पासवर्ड मैनेजर जैसे KeepassX द्वारा उत्पन्न एक लंबी यादृच्छिक स्ट्रिंग बनाते हैं।
You should then be able to log in and start using the app. You might also want to invite any other users of your LibreServer system to also sign up using the turtl domain name which you specified during installation.|इसके बाद आपको लॉग इन करने और ऐप का उपयोग शुरू करने में सक्षम होना चाहिए। आप इंस्टॉलेशन के दौरान निर्दिष्ट कछुए डोमेन नाम का उपयोग करके साइन अप करने के लिए अपने फ्रीडमॉम्बोन सिस्टम के किसी अन्य उपयोगकर्ता को भी आमंत्रित करना चाहेंगे।
Disabling new registrations|नए पंजीकरण को अक्षम करना
Once you have set up the server with however many users are needed you can then disable any new registrations by selecting Turtl on the LibreServer web interface and going to the settings screen.|एक बार जब आप सर्वर स्थापित कर लेते हैं तो कई उपयोगकर्ताओं की आवश्यकता होती है तो आप LibreServer वेब इंटरफ़ेस पर टर्टल चुनकर और सेटिंग स्क्रीन पर जाकर किसी भी नए पंजीकरण को अक्षम कर सकते हैं।
This is similar to Hubzilla but with a reduced range of features concentrating exclusively upon social networking with the latest version of the Zot protocol. Nomadic identity is supported, so to can export your channels and import them on other servers if necessary, without losing followers.|यह हबज़िला के समान है लेकिन ज़ोट प्रोटोकॉल के नवीनतम संस्करण के साथ विशेष रूप से सोशल नेटवर्किंग पर ध्यान केंद्रित करने वाली सुविधाओं की एक कम श्रृंखला के साथ। नोमाडिक पहचान समर्थित है, इसलिए अनुयायियों को खोए बिना, अपने चैनल निर्यात कर सकते हैं और यदि आवश्यक हो तो उन्हें अन्य सर्वरों पर आयात कर सकते हैं।
The first account you register will be the administrator user, and from there you can go to the admin settings and disable new registrations if needed.|आपके द्वारा पंजीकृत पहला खाता व्यवस्थापक उपयोगकर्ता होगा, और वहां से आप व्यवस्थापक सेटिंग्स पर जा सकते हैं और यदि आवश्यक हो तो नए पंजीकरण अक्षम कर सकते हैं।
To find other users to follow select "directory" from the drop down menu at the top right of the screen and set "this site only" to "no".|स्क्रीन के ऊपरी दाएं भाग पर ड्रॉप डाउन मेनू से "निर्देशिका" का चयन करने के लिए अन्य उपयोगकर्ताओं को ढूंढने के लिए और "केवल यह साइट" को "नहीं" पर सेट करें।
There is an Android app available called Nomad.|नोमाड नामक एक एंड्रॉइड ऐप उपलब्ध है।
End-to-end encrypted sync of calendar and contacts between devices|कैलेंडर के अंत-टू-एंड एन्क्रिप्टेड सिंक और उपकरणों के बीच संपर्क
Secure, end-to-end encrypted and journaled personal information cloud synchronization for Android and the desktop, supporting contacts and calendars|सुरक्षित, एंड-टू-एंड एन्क्रिप्टेड और जर्नल व्यक्तिगत जानकारी क्लाउड सिंक्रनाइज़ेशन एंड्रॉइड और डेस्कटॉप, सहायक संपर्क और कैलेंडर के लिए
Nomadic social network server|नोमाडिक सोशल नेटवर्क सर्वर
Change background|बैकग्राउंड बदलें
Diagnostics|निदान
Please wait while your app is installing|कृपया प्रतीक्षा करें कि आपका ऐप इंस्टॉल हो रहा है
The app could not be installed|ऐप इंस्टॉल नहीं किया जा सका
Add a new member|एक नया सदस्य जोड़ें
Kanban focussed on simplicity and minimalism|कानबान ने सादगी और minimalism पर ध्यान केंद्रित किया
Emails, chat or social network posts will be blocked if they contain the following words or phrases|यदि वे निम्नलिखित शब्द या वाक्यांश होते हैं तो ईमेल, चैट या सोशल नेटवर्क पोस्ट अवरुद्ध हो जाएंगे
Muted words|म्यूट किए गए शब्द
Disk space is getting too low. Installation stopped.|डिस्क स्थान बहुत कम हो रहा है। स्थापना बंद हो गई।
Password changed|पासवर्ड बदला गया
Play media from any UPNP/DLNA device on your local network|अपने स्थानीय नेटवर्क पर किसी भी यूपीएनपी / डीएलएनए डिवाइस से मीडिया चलाएं
This allows you to play media on any DLNA supporting device within your local network.|यह आपको अपने स्थानीय नेटवर्क के भीतर किसी भी डीएलएनए सहायक डिवाइस पर मीडिया चलाने की अनुमति देता है।
No Access Control|कोई एक्सेस कंट्रोल नहीं
DLNA doesn't have any access controls, so keep in mind that anyone with a mobile device or laptop within your local network is potentially able to play any media on the server. Hence this may not be suitable for situations where you want parental control over what media can be accessed.|डीएलएनए के पास कोई एक्सेस कंट्रोल नहीं है, इसलिए ध्यान रखें कि आपके स्थानीय नेटवर्क के भीतर मोबाइल डिवाइस या लैपटॉप वाला कोई भी व्यक्ति सर्वर पर किसी भी मीडिया को चलाने में सक्षम है। इसलिए यह उन परिस्थितियों के लिए उपयुक्त नहीं हो सकता है जहां आप अभिभावक नियंत्रण चाहते हैं कि मीडिया को किस तक पहुंचा जा सकता है।
Adding Media|मीडिया जोड़ना
You can add media by selecting the settings button from the DLNA app.|आप DLNA ऐप से सेटिंग्स बटन का चयन करके मीडिया जोड़ सकते हैं।
Your homepage can also be accessed with a Tor browser on:|आपके होमपेज को टोर ब्राउजर के साथ भी एक्सेस किया जा सकता है:
Chat|चैट
Media|मीडिया
Social|सामाजिक
Sync|सिंक
Publishing|प्रकाशन
Other|अन्य
Recommended Firefox Add-ons:|अनुशंसित फ़ायरफ़ॉक्स ऐड-ऑन:
Change your default domain name|अपना डिफ़ॉल्ट डोमेन नाम बदलें
Do you want to change your default domain name to:|क्या आप अपना डिफ़ॉल्ट डोमेन नाम बदलना चाहते हैं:
rsync failed|rsync विफल
For most purposes Syncthing is an easier file synchronization system, but rsync is still a reliable solution if you prefer to do things the more traditional way or if you just want to create a mirror from an existing rsync server.|अधिकांश उद्देश्यों के लिए सिंक्थिंग एक आसान फ़ाइल सिंक्रोनाइज़ेशन सिस्टम है, लेकिन rsync अभी भी एक विश्वसनीय समाधान है यदि आप चीजों को अधिक पारंपरिक तरीके से करना पसंद करते हैं या यदि आप मौजूदा rsync सर्वर से केवल एक दर्पण बनाना चाहते हैं।
Rsync is unencrypted but can be used via an onion address for transport security. If you are using it via your domain name then third parties will be able to see the content, but this may not matter if you are synchronizing already public files, such as GNU/Linux distro downloads.|Rsync अनएन्क्रिप्टेड है, लेकिन परिवहन सुरक्षा के लिए एक प्याज के पते के माध्यम से उपयोग किया जा सकता है। यदि आप इसे अपने डोमेन नाम के माध्यम से उपयोग कर रहे हैं तो तृतीय पक्ष सामग्री को देख पाएंगे, लेकिन इससे कोई फर्क नहीं पड़ता अगर आप पहले से ही सार्वजनिक फ़ाइलों को सिंक्रनाइज़ कर रहे हैं, जैसे कि जीएनयू / लिनक्स डिस्ट्रो डाउनलोड।
Avoid using this for private data, unless you are exclusively using rsync via the onion address.|जब तक आप विशेष रूप से प्याज के पते के माध्यम से rsync का उपयोग कर रहे हैं, निजी डेटा के लिए इसका उपयोग करने से बचें।
Creating a Mirror|एक दर्पण बनाना
Select the Settings button then enter the domain and module name for the mirror. From then on synchronization will happen once per day.|सेटिंग्स बटन का चयन करें और फिर दर्पण के लिए डोमेन और मॉड्यूल नाम दर्ज करें। तब से सिंक्रनाइज़ेशन प्रति दिन एक बार होगा।
Local Sync|स्थानीय सिंक
If you created a mirror to your server you can then sync those files to other machines or devices on your local network as follows:|यदि आपने अपने सर्वर पर एक दर्पण बनाया है, तो आप उन फ़ाइलों को अन्य मशीनों या उपकरणों पर अपने स्थानीय नेटवर्क पर निम्नानुसार सिंक कर सकते हैं:
If "libreserver" doesn't work then you can substitute the local IP address of your server.|यदि "फ्रीडॉम्बोन" काम नहीं करता है, तो आप अपने सर्वर के स्थानीय आईपी पते को स्थानापन्न कर सकते हैं।
Create a mirror of public files|सार्वजनिक फ़ाइलों का दर्पण बनाएँ
The domain name could not be changed|डोमेन नाम नहीं बदला जा सका
This might be because you do not have ports 80 and 443 forwarded to the server.|ऐसा इसलिए हो सकता है क्योंकि आपके पास सर्वर के लिए पोर्ट 80 और 443 नहीं हैं
Check the port forwarding settings on your internet router.|अपने इंटरनेट राउटर पर पोर्ट अग्रेषण सेटिंग्स की जाँच करें।
Please specify a domain name which will be used for your email or XMPP address.|कृपया एक डोमेन नाम निर्दिष्ट करें जो आपके ईमेल या XMPP पते के लिए उपयोग किया जाएगा।
Please forward the following ports from your internet router:|कृपया अपने इंटरनेट राउटर से निम्नलिखित पोर्ट को अग्रेषित करें
Search for 'Barcode Scanner', then select 'install'|'बारकोड स्कैनर' खोजें, फिर 'इंस्टॉल' चुनें
Download the DarkMessenger apk file via the link below, preferably using a Tor based browser, then install it|नीचे दिए गए लिंक के माध्यम से DarkMessenger apk फ़ाइल डाउनलोड करें, अधिमानतः एक टोर आधारित ब्राउज़र का उपयोग करके, फिर इसे इंस्टॉल करें
Run DarkMessenger and the initial account setup will be shown. DarkMessenger only allows onion addresses to be used to create accounts|DarkMessenger चलाएं और प्रारंभिक खाता सेटअप दिखाया जाएगा। DarkMessenger केवल प्याज के पतों को खाता बनाने के लिए उपयोग करने की अनुमति देता है
You can obtain your onion XMPP address from the Members section within the web interface, usually at http://libreserver/admin or http://libreserver.local/admin. If you can't easily copy and paste it into the account setup within DarkMessenger then you can use the barcode scanner on the QRcode displayed|आप आमतौर पर http: // libreserver / admin या http: //libreserver.local/admin पर वेब इंटरफ़ेस के भीतर सदस्य अनुभाग से अपना प्याज XMPP पता प्राप्त कर सकते हैं। यदि आप आसानी से DarkMessenger के भीतर खाता सेटअप में इसे कॉपी और पेस्ट नहीं कर सकते हैं तो आप क्यूआरकोड प्रदर्शित बारकोड स्कैनर का उपयोग कर सकते हैं
Enter the password which you stored during initial setup of the system and also the onion domain|वह पासवर्ड दर्ज करें जो आपने सिस्टम के प्रारंभिक सेटअप और प्याज डोमेन के दौरान संग्रहीत किया था
You should now be able to connect to your onion XMPP account and set an avatar image if necessary|अब आपको अपने प्याज एक्सएमपीपी खाते से कनेक्ट करने में सक्षम होना चाहिए और यदि आवश्यक हो तो एक अवतार छवि सेट करें
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|पहली बार चित्र या अन्य संलग्नक भेजते या प्राप्त करते समय आपको स्व-हस्ताक्षरित प्रमाणपत्रों को स्वीकार करना होगा। 'हमेशा' दो बार चुनें। यह केवल संपर्क के अनुसार एक बार होना चाहिए
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|सेटिंग्स / विशेषज्ञ के तहत आप स्वचालित संदेश हटाने की अवधि बदलना चाहते हैं। डिफ़ॉल्ट रूप से यह एक दिन है
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|समूह चैट सेट करते समय पहले सुनिश्चित करें कि आपने अलग-अलग प्रतिभागियों में से प्रत्येक के साथ दो तरह से संदेश भेजने की पुष्टि की है
Enable strict TLS authentication between XMPP servers?|XMPP सर्वर के बीच सख्त TLS प्रमाणीकरण सक्षम करें?
If you or other people are having difficulty joining multi-user chat then enabling this might help|यदि आपको या अन्य लोगों को बहु-उपयोगकर्ता चैट में शामिल होने में कठिनाई हो रही है तो इसे सक्षम करने से मदद मिल सकती है
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Nextcloud का उपयोग करके संगीत अपलोड किया जा सकता है। एप्लिकेशन इंस्टॉल करें और फिर 'संगीत' नामक एक निर्देशिका बनाएं।
Drag your files into the Music directory and they will then become available to mpd.|अपनी फ़ाइलों को संगीत निर्देशिका में खींचें और वे तब mpd के लिए उपलब्ध हो जाएंगे।
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|खोज (आवर्धक ग्लास आइकन) का चयन करें और 'MALP' के लिए खोजें, फिर 'इंस्टॉल' चुनें
Open MALP and from the settings select Profiles|MALP खोलें और सेटिंग्स से प्रोफाइल चुनें
Enter the following settings:|निम्नलिखित सेटिंग्स दर्ज करें:
Save the settings by selecting the disk icon at the top right of the screen|स्क्रीन के शीर्ष दाईं ओर डिस्क आइकन का चयन करके सेटिंग्स को सहेजें
You should now be able to connect to mpd on your server and select and play albums.|अब आपको अपने सर्वर पर mpd से कनेक्ट करने और एल्बम का चयन करने और खेलने में सक्षम होना चाहिए।
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|एक गैर-टोर ब्राउज़र में http: // libreserver: 8250 या http: // [सर्वर स्थानीय आईपी पता]: 8250 पर नेविगेट करें और आपको चयनित एल्बम चलाने में सक्षम होना चाहिए।
Setting up on the desktop|डेस्कटॉप पर सेट करना
Install Sonata|सोनाटा को स्थापित करें
Run Sonata and enter the following settings:|सोनाटा चलाएं और निम्नलिखित सेटिंग्स दर्ज करें:
You should now be able to see your albums listed and be able to add them to the currently playing list.|अब आपको अपने एल्बमों को सूचीबद्ध करने में सक्षम होना चाहिए और उन्हें वर्तमान में चल रही सूची में जोड़ने में सक्षम होना चाहिए।
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|एक गैर-टोर ब्राउज़र में http: // libreserver: 8250 या http: // [सर्वर स्थानीय आईपी पता]: 8250 पर नेविगेट करें और आपको चयनित एल्बम चलाने में सक्षम होना चाहिए।
Select your music file format:|अपने संगीत फ़ाइल स्वरूप का चयन करें:
pixelfed allow new registrations|नए पंजीकरण की अनुमति
Groceries and household management|किराने का सामान और घरेलू प्रबंधन
Organization|संगठन
VPN domain or IP address:|वीपीएन डोमेन या आईपी पता:
VPN public key:|वीपीएन सार्वजनिक कुंजी:
Public key for this server:|इस सर्वर के लिए सार्वजनिक कुंजी:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|लैपटॉप या डिवाइस के लिए सार्वजनिक कुंजी जिसे आप इंटरनेट से कनेक्ट करने के लिए इस सर्वर का उपयोग करना चाहते हैं
Network|नेटवर्क
Set your coordinates on the map|मानचित्र पर अपने निर्देशांक सेट करें
Longitude:|देशांतर:
Latitude:|अक्षांश:
Join|शामिल हों
Docs|डॉक्स
Community network map is being generated|सामुदायिक नेटवर्क मानचित्र उत्पन्न किया जा रहा है
Please wait|कृपया प्रतीक्षा करें
IP address (optional):|आईपी पता (वैकल्पिक):
Export|निर्यात
Add a new community network node|एक नया समुदाय नेटवर्क नोड जोड़ें
Remove a community network node|सामुदायिक नेटवर्क नोड निकालें
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|चेतावनी: यदि आप जानते हैं कि आप क्या कर रहे हैं तो इसे बदल दें। गलत मेष प्रोटोकॉल का चयन करने से आपका सर्वर नेटवर्क से गायब हो सकता है, और पुनर्प्राप्त करना मुश्किल हो सकता है
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|चेतावनी: यदि आप जानते हैं कि आप क्या कर रहे हैं तो इसे बदल दें। एक गलत IP पता या गेटवे सेट करने से आपका सर्वर अप्राप्य हो सकता है, और पुनर्प्राप्त करना मुश्किल हो सकता है
Choose your network:|अपना नेटवर्क चुनें:
Language is being changed|भाषा बदली जा रही है
Community Network|सामुदायिक नेटवर्क
Theme is being changed|थीम बदली जा रही है
Install a new app|एक नया ऐप इंस्टॉल करें
Restore APPNAME from backup?|बैकअप से APPNAME पुनर्स्थापित करें?
Add or remove feeds|फ़ीड जोड़ें या निकालें
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|जोड़ने या हटाने के लिए RSS फ़ीड URL दर्ज करें। डोमेन नाम हटाने के लिए पर्याप्त है।
Show onion address|प्याज का पता दिखाएँ
Multi User Dungeon from the era of Welsh mainframe computing|वेल्श मेनफ्रेम कंप्यूटिंग के युग से बहु उपयोगकर्ता कालकोठरी
Forward the UDP port 5100 from your internet router|अपने इंटरनेट राउटर से UDP पोर्ट 5100 को फॉरवर्ड करें
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|चूंकि यह ऐप केवल यूडीपी प्रोटोकॉल का उपयोग करता है इसलिए यह एक प्याज के पते के माध्यम से काम नहीं करेगा। यदि आप फ्रीडमबोन के प्याज को केवल संस्करण में चला रहे हैं तो उपरोक्त पोर्ट पर गेम से कनेक्ट करने के लिए इसके स्थानीय आईपी पते (आमतौर पर 192.168.1.x) का उपयोग करें।
Near infinite world block sandbox game|अनंत विश्व ब्लॉक सैंडबॉक्स गेम के पास
Federation List|फेडरेशन सूची
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|उन उदाहरणों के लिए डोमेन नाम जोड़ें या निकालें जिनके साथ आप फ़ेडरेट करना चाहते हैं। अपने स्वयं के डोमेन नाम शामिल न करें।
Notify via|के माध्यम से सूचित करें
Receive admin notifications|व्यवस्थापक सूचनाएं प्राप्त करें
New calendar event|नई कैलेंडर घटना
New direct message|नया प्रत्यक्ष संदेश
New reply|नया उत्तर
New shared item|नया साझा आइटम
New follow request|नए अनुरोध का पालन करें
Number of connections on HTTP port is high|HTTP पोर्ट पर कनेक्शन की संख्या अधिक है
Number of connections on HTTPS port is high|HTTPS पोर्ट पर कनेक्शन की संख्या अधिक है
Cryptpad allow new signups|क्रिप्टपैड नए साइनअप की अनुमति देता है
Name of the Dungeon Master|कालकोठरी मास्टर का नाम
Message Of The Day|आज का संदेश
port|नेटवर्क पोर्ट
Server Password|सर्वर का पासवर्ड
DNS over TLS|टीएलएस पर डीएनएस
IP Address|आईपी पता
New git patch|नया गिट पैच
liked your post|आपकी पोस्ट पसंद आई
IRC Password|आईआरसी पासवर्ड
Reaction by|द्वारा प्रतिक्रिया
ssh connections too high|ssh कनेक्शन बहुत अधिक
