About|Sur
Groceries and household management|Epicerie et gestion du ménage
Organization|Organisation
VPN domain or IP address:|Domaine VPN ou adresse IP:
VPN public key:|Clé publique VPN:
Public key for this server:|Clé publique pour ce serveur:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Clés publiques des ordinateurs portables ou des périphériques sur lesquels vous souhaitez utiliser ce serveur pour vous connecter à Internet.
Network|Réseau
Set your coordinates on the map|Définissez vos coordonnées sur la carte
Longitude:|Longitude:
Latitude:|Latitude:
Join|Joindre
Docs|Docs
Community network map is being generated|La carte du réseau communautaire est en cours de création
Please wait|S'il vous plaît, attendez
IP address (optional):|Adresse IP (facultatif):
Export|Exportation
Add a new community network node|Ajouter un nouveau nœud de réseau de communauté
Remove a community network node|Supprimer un nœud de réseau de communauté
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|AVERTISSEMENT: Ne changez cela que si vous savez ce que vous faites. La sélection d'un protocole de maillage incorrect peut entraîner la disparition de votre serveur du réseau et la récupération
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|AVERTISSEMENT: Ne changez cela que si vous savez ce que vous faites. La définition d'une adresse IP ou d'une passerelle incorrecte peut rendre votre serveur inaccessible et il peut être difficile à récupérer
Choose your network:|Choisissez votre réseau:
Language is being changed|La langue est en train de changer
Community Network|Réseau communautaire
Theme is being changed|Le thème est en train de changer
Install a new app|Installer une nouvelle application
Restore APPNAME from backup?|Restaurer APPNAME à partir d'une sauvegarde?
Add or remove feeds|Ajouter ou supprimer des flux
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Entrez une URL de flux RSS à ajouter ou à supprimer. Le nom de domaine suffit pour les déménagements.
Show onion address|Afficher l'adresse de l'oignon
Multi User Dungeon from the era of Welsh mainframe computing|Donjon multi-utilisateurs de l'ère informatique galloise
Forward the UDP port 5100 from your internet router|Transférez le port UDP 5100 depuis votre routeur Internet
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Étant donné que cette application utilise uniquement le protocole UDP, elle ne fonctionnera pas via une adresse oignon. Si vous exécutez la version uniquement gratuite de LibreServer, utilisez son adresse IP locale (habituellement 192.168.1.x) pour vous connecter au jeu sur le port ci-dessus.
Near infinite world block sandbox game|Jeu de sandbox de blocs du monde presque infini
Federation List|Liste de fédération
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Ajoutez ou supprimez les noms de domaine pour les instances avec lesquelles vous souhaitez fédérer. N'incluez pas vos propres noms de domaine.
Notify via|Notifier via
Receive admin notifications|Recevoir les notifications de l'administrateur
New calendar event|Nouvel événement de calendrier
New direct message|Nouveau message direct
New reply|Nouvelle réponse
New shared item|Nouvel élément partagé
New follow request|Nouvelle demande de suivi
Number of connections on HTTP port is high|Le nombre de connexions sur le port HTTP est élevé
Number of connections on HTTPS port is high|Le nombre de connexions sur le port HTTPS est élevé
Cryptpad allow new signups|Cryptpad permet de nouvelles inscriptions
Name of the Dungeon Master|Nom du maître du donjon
Message Of The Day|Le message du jour
port|port réseau
Server Password|Mot de passe du serveur
DNS over TLS|DNS sur TLS
IP Address|Adresse IP
New git patch|Nouveau patch git
liked your post|aimé votre message
IRC Password|IRC Mot de passe
