About|약
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|비 Tor 브라우저에서 http : // libreserver : 8250 또는 http : // [서버 로컬 IP 주소] : 8250을 탐색하면 선택한 앨범을 재생할 수 있습니다.
Setting up on the desktop|바탕 화면 설정
Install Sonata|소나타 설치
Run Sonata and enter the following settings:|Sonata를 실행하고 다음 설정을 입력하십시오.
You should now be able to see your albums listed and be able to add them to the currently playing list.|이제 목록에있는 앨범을보고 현재 재생 목록에 추가 할 수 있습니다.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|비 Tor 브라우저에서 http : // libreserver : 8250 또는 http : // [서버 로컬 IP 주소] : 8250을 탐색하면 선택한 앨범을 재생할 수 있습니다.
Select your music file format:|음악 파일 형식 선택 :
pixelfed allow new registrations|새로운 등록을 허용하는 pixelfed
Groceries and household management|식료품 점 및 가정 관리
Organization|조직
VPN domain or IP address:|VPN 도메인 또는 IP 주소 :
VPN public key:|VPN 공개 키 :
Public key for this server:|이 서버의 공개 키 :
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|이 서버를 사용하여 인터넷에 연결할 수 있도록하려는 랩톱 또는 장치의 공개 키입니다.
Network|회로망
Set your coordinates on the map|좌표를지도에 설정하십시오.
Longitude:|경도:
Latitude:|위도:
Join|어울리다
Docs|문서 도구
Community network map is being generated|커뮤니티 네트워크 맵이 생성 중입니다.
Please wait|기다려주세요.
IP address (optional):|IP 주소 (선택 사항) :
Export|수출
Add a new community network node|새로운 커뮤니티 네트워크 노드 추가
Remove a community network node|커뮤니티 네트워크 노드 제거
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|경고 : 자신이하는 일을 알고있는 경우에만 이것을 변경하십시오. 잘못된 메쉬 프로토콜을 선택하면 서버가 네트워크에서 사라져 복구가 어려워 질 수 있습니다.
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|경고 : 자신이하는 일을 알고있는 경우에만 이것을 변경하십시오. 잘못된 IP 주소 또는 게이트웨이를 설정하면 서버에 액세스 할 수 없게되고 복구가 어려울 수 있습니다
Choose your network:|네트워크 선택 :
Language is being changed|언어가 변경 중입니다.
Community Network|커뮤니티 네트워크
Theme is being changed|테마가 변경 중입니다.
Install a new app|새 앱 설치
Restore APPNAME from backup?|백업에서 APPNAME을 (를) 복원 하시겠습니까?
Add or remove feeds|피드 추가 또는 제거
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|추가하거나 제거 할 RSS 피드 URL을 입력하십시오. 도메인 이름은 삭제하기에 충분합니다.
Show onion address|양파 주소 표시
Multi User Dungeon from the era of Welsh mainframe computing|웨일스 어 메인 프레임 컴퓨팅 시대의 멀티 유저 던전
Forward the UDP port 5100 from your internet router|인터넷 라우터에서 UDP 포트 5100 전달
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|이 앱은 UDP 프로토콜 만 사용하기 때문에 양파 주소로는 작동하지 않습니다. 양파 전용 버전의 LibreServer을 실행중인 경우 로컬 IP 주소 (일반적으로 192.168.1.x)를 사용하여 위 포트의 게임에 연결하십시오.
Near infinite world block sandbox game|무한 세계 블록 샌드 박스 게임 근처
Federation List|연합 목록
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|페더레이션하려는 인스턴스의 도메인 이름을 추가하거나 제거하십시오. 자신의 도메인 이름을 포함하지 마십시오.
Notify via|통해 알림
Receive admin notifications|관리자 알림 수신
New calendar event|새로운 캘린더 이벤트
New direct message|새로운 다이렉트 메시지
New reply|새로운 답장
New shared item|새로운 공유 항목
New follow request|새로운 팔로우 요청
Number of connections on HTTP port is high|HTTP 포트의 연결 수가 높습니다
Number of connections on HTTPS port is high|HTTPS 포트의 연결 수가 높습니다
Cryptpad allow new signups|암호화 패드로 새로운 가입 가능
Name of the Dungeon Master|던전 마스터의 이름
Message Of The Day|오늘의 메시지
port|네트워크 포트
Server Password|서버 암호
DNS over TLS|TLS를 통한 DNS
IP Address|IP 주소
New git patch|새로운 자식 패치
liked your post|게시물이 마음에 들었습니다
IRC Password|IRC 암호
Reaction by|반응
ssh connections too high|SSH 연결이 너무 높음
