About|oor
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Publieke sleutels vir die skootrekenaars of toestelle wat u wil gebruik om hierdie bediener te gebruik om aan die internet te koppel.
Network|Network
Set your coordinates on the map|Stel jou koördinate op die kaart
Longitude:|Longitude:
Latitude:|Latitude:
Join|aansluit
Docs|Dokumente
Community network map is being generated|Gemeenskapsnetwerk kaart word gegenereer
Please wait|Wag asseblief
IP address (optional):|IP-adres (opsioneel):
Export|uitvoer
Add a new community network node|Voeg 'n nuwe gemeenskapsnetwerknodus by
Remove a community network node|Verwyder 'n gemeenskapsnetwerknodus
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|WAARSKUWING: Verander dit net as jy weet wat jy doen. As u die verkeerde netwerkprotokol kies, kan u bediener van die netwerk verdwyn en moeilik wees om te herstel
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|WAARSKUWING: Verander dit net as jy weet wat jy doen. As u 'n verkeerde IP-adres of gateway instel, kan u bediener ontoeganklik raak, en dit kan moeilik wees om te herstel
Choose your network:|Kies jou netwerk:
Language is being changed|Taal word verander
Community Network|Gemeenskapsnetwerk
Theme is being changed|Tema word verander
Install a new app|Installeer 'n nuwe program
Restore APPNAME from backup?|Herstel APPNAME uit Friends?
Add or remove feeds|Voeg feite by of verwyder
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Voer 'n RSS-feed-URL in om by te voeg of te verwyder. Die domeinnaam is genoeg vir verwyderings.
Show onion address|Toon ui adres
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon uit die era van Walliese hoofraamwerk
Forward the UDP port 5100 from your internet router|Stuur die UDP-poort 5100 van u internet router
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Aangesien hierdie program net die UDP-protokol gebruik, sal dit nie via 'n ui-adres werk nie. As jy die ui-weergawe van LibreServer gebruik, gebruik dan sy plaaslike IP-adres (gewoonlik 192.168.1.x) om aan die spel op die bogenoemde poort te koppel.
Near infinite world block sandbox game|Byna oneindige wêreld blok sandbox spel
Federation List|Federasie Lys
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Voeg of verwyder die domein name vir instansies met wie jy wil federeren. Moenie jou eie domeinname insluit nie.
Notify via|Stel in kennis via
Receive admin notifications|Ontvang admin kennisgewings
New calendar event|Nuwe kalendergeleentheid
New direct message|Nuwe direkte boodskap
New reply|Nuwe antwoord
New shared item|Nuwe gedeelde item
New follow request|Nuwe opvolgversoek
Number of connections on HTTP port is high|Aantal verbindings op die HTTP-poort is groot
Number of connections on HTTPS port is high|Aantal verbindings op die HTTPS-poort is groot
Cryptpad allow new signups|Cryptpad laat nuwe aanmeldings toe
Name of the Dungeon Master|Naam van die Dungeon Master
Message Of The Day|Boodskap van die dag
port|hawe
Server Password|Bedienerswagwoord
DNS over TLS|DNS oor TLS
IP Address|IP adres
New git patch|Nuwe git patch
liked your post|hou van jou plasing
