About|על אודות
When sending or receiving pictures or other attachments for the first time you will need to accept the self-signed certificates. Select 'always' twice. This should only happen once per contact|בעת שליחה או קבלה של תמונות או קבצים מצורפים אחרים בפעם הראשונה, יהיה עליך לקבל את האישורים החתומים בעצמך. בחר 'תמיד' פעמיים. זה אמור לקרות רק פעם אחת לכל איש קשר
Under Settings/Expert you may want to change the automatic message deletion period. By default this is one day|תחת הגדרות / מומחה ייתכן שתרצה לשנות את תקופת מחיקת ההודעות האוטומטית. כברירת מחדל, זהו יום אחד
When setting up a group chat first ensure that you have separately confirmed two way messaging with each of the participants individually|בעת הגדרת צ'אט קבוצתי, ודא תחילה שאישרת בנפרד שתי הודעות עם כל אחד מהמשתתפים בנפרד
Enable strict TLS authentication between XMPP servers?|אפשר אימות קפדני של TLS בין שרתי XMPP?
If you or other people are having difficulty joining multi-user chat then enabling this might help|אם אתה או אנשים אחרים מתקשים להצטרף לצ'אט מרובה משתמשים, ייתכן שהפעולה הזו תסייע
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|מוסיקה ניתן להעלות באמצעות Nextcloud. התקן את האפליקציה ולאחר מכן צור ספריה בשם 'מוסיקה'.
Drag your files into the Music directory and they will then become available to mpd.|גרור את הקבצים שלך לתוך ספריית המוסיקה והם יהיו זמינים mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|בחר חיפוש (סמל זכוכית מגדלת) וחפש את 'MALP', ולאחר מכן בחר 'התקן'
Open MALP and from the settings select Profiles|פתח את MALP ומההגדרות בחר פרופילים
Enter the following settings:|הזן את ההגדרות הבאות:
Save the settings by selecting the disk icon at the top right of the screen|שמור את ההגדרות על ידי בחירה בסמל הדיסק בפינה השמאלית העליונה של המסך
You should now be able to connect to mpd on your server and select and play albums.|כעת תוכל להתחבר ל- mpd בשרת שלך ולבחור ולהפעיל אלבומים.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|בדפדפן שאינו טור לנווט אל http: // libreserver: 8250 או http: // [כתובת שרת מקומית של שרת]: 8250 ואתה אמור להיות מסוגל לנגן את האלבום שנבחר.
Setting up on the desktop|הגדרת על שולחן העבודה
Install Sonata|התקן את Sonata
Run Sonata and enter the following settings:|הפעל סונטה והזן את ההגדרות הבאות:
You should now be able to see your albums listed and be able to add them to the currently playing list.|כעת תוכל לראות את האלבומים שלך ברשימה ולהיות מסוגל להוסיף אותם לרשימה הנוכחית.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|בדפדפן שאינו טור לנווט אל http: // libreserver: 8250 או http: // [כתובת שרת מקומית של שרת]: 8250 ואתה אמור להיות מסוגל לנגן את האלבום שנבחר.
Select your music file format:|בחר את תבנית קובץ המוסיקה שלך:
pixelfed allow new registrations|פיקסלד לאפשר רישומים חדשים
Groceries and household management|מצרכים וניהול משק בית
Organization|ארגון
VPN domain or IP address:|תחום VPN או כתובת IP:
VPN public key:|מפתח ציבורי VPN:
Public key for this server:|מפתח ציבורי עבור שרת זה:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|מפתחות ציבוריים עבור מחשבים ניידים או התקנים שאתה רוצה להיות מסוגל להשתמש בשרת זה כדי להתחבר לאינטרנט.
Network|רשת
Set your coordinates on the map|הגדר את הקואורדינטות שלך על המפה
Longitude:|קו אורך:
Latitude:|קו רוחב:
Join|הצטרף
Docs|Docs
Community network map is being generated|מפת הרשת הקהילתית נוצרת
Please wait|המתן בבקשה
IP address (optional):|כתובת IP (אופציונלי):
Export|יצא
Add a new community network node|הוסף צומת רשת קהילתית חדשה
Remove a community network node|הסר צומת רשת קהילתית
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|אזהרה: רק לשנות את זה אם אתה יודע מה אתה עושה. בחירת פרוטוקול רשת לא בסדר עלול להפוך את השרת להיעלם מהרשת, ויהיה קשה להתאושש
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|אזהרה: רק לשנות את זה אם אתה יודע מה אתה עושה. הגדרת כתובת IP או שער שגויים עלולה לגרום לשרת שלך להיות בלתי נגיש, וייתכן שיהיה קשה לשחזר אותו
Choose your network:|בחר את הרשת שלך:
Language is being changed|השפה משתנה
Community Network|רשת חברתית
Theme is being changed|ערכת הנושא משתנה
Install a new app|התקן יישום חדש
Restore APPNAME from backup?|לשחזר את APPNAME מהגיבוי?
Add or remove feeds|הוסף או הסר עדכונים
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|הזן כתובת אתר להזנת RSS כדי להוסיף או להסיר. שם התחום מספיק להסרה.
Show onion address|הצג כתובת בצל
Multi User Dungeon from the era of Welsh mainframe computing|משתמש צינוק רב מעידן מחשוב מיינפריים וולשית
Forward the UDP port 5100 from your internet router|העבר את יציאת UDP 5100 מהנתב שלך לאינטרנט
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|מאז יישום זה רק משתמש בפרוטוקול UDP זה לא יעבוד באמצעות כתובת בצל. אם אתה מפעיל את הבצל רק גרסה של LibreServer ולאחר מכן להשתמש בכתובת ה- IP המקומית שלה (בדרך כלל 192.168.1.x) כדי להתחבר למשחק על הנמל לעיל.
Near infinite world block sandbox game|ליד אינסופי בעולם לחסום ארגז החול
Federation List|רשימת הפדרציות
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|הוספה או הסרה של שמות התחומים עבור מופעים שאיתם ברצונך לפדרל. אל תכלול שמות דומיין משלך.
Notify via|הודע באמצעות
Receive admin notifications|קבל התראות מנהל
New calendar event|אירוע לוח שנה חדש
New direct message|הודעה ישירה חדשה
New reply|תשובה חדשה
New shared item|פריט משותף חדש
New follow request|בקשת מעקב חדשה
Number of connections on HTTP port is high|מספר החיבורים ביציאת HTTP הוא גבוה
Number of connections on HTTPS port is high|מספר החיבורים ביציאת HTTPS הוא גבוה
Cryptpad allow new signups|Cryptpad מאפשרת הרשמות חדשות
Name of the Dungeon Master|שם מאסטר הצינוק
Message Of The Day|מסר היום
port|יציאת רשת
Server Password|סיסמת שרת
DNS over TLS|DNS באמצעות TLS
IP Address|כתובת ה - IP
New git patch|תיקון Git חדש
liked your post|אהב את הפוסט שלך
IRC Password|IRC סיסמה
Reaction by|תגובה מאת
ssh connections too high|חיבורי ssh גבוהים מדי
