About|Acerca de
Notify via|Notificar a través de
Receive admin notifications|Recibe notificaciones de administrador
New calendar event|Nuevo evento de calendario
New direct message|Nuevo mensaje directo
New reply|Nueva respuesta
New shared item|Nuevo elemento compartido
New follow request|Nueva solicitud de seguimiento
Number of connections on HTTP port is high|El número de conexiones en el puerto HTTP es alto
Number of connections on HTTPS port is high|El número de conexiones en el puerto HTTPS es alto
Cryptpad allow new signups|Cryptpad permite nuevos registros
Name of the Dungeon Master|Nombre del maestro de mazmorra
Message Of The Day|Mensaje del día
port|puerto de red
Server Password|Contraseña del servidor
DNS over TLS|DNS sobre TLS
IP Address|Dirección IP
New git patch|Nuevo parche git
liked your post|me gustó tu publicación
IRC Password|Contraseña de IRC
Reaction by|Reacción de
ssh connections too high|conexiones ssh demasiado altas
