About|Um
Music can be uploaded using NextCloud. Install the app and then create a directory called 'Music'.|Tónlist má hlaða með NextCloud. Settu upp forritið og búðu síðan til möppu sem heitir 'Tónlist'.
Drag your files into the Music directory and they will then become available to mpd.|Dragðu skrárnar þínar í tónlistarskrárnar og þá verða þau laus við MPD.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Veldu leit (stækkunargler táknið) og leitaðu að 'MALP' og veldu síðan 'install'
Open MALP and from the settings select Profiles|Opnaðu MALP og úr stillingunum veldu Snið
Enter the following settings:|Sláðu inn eftirfarandi stillingar:
Save the settings by selecting the disk icon at the top right of the screen|Vista stillingar með því að velja diskartáknið efst til hægri á skjánum
You should now be able to connect to mpd on your server and select and play albums.|Þú ættir nú að geta tengst mpd á netþjóninum þínum og valið og spilað albúm.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Farðu í http: // libreserver: 8250 eða http: // [staðbundin IP-tölu]: 8250 og þú ættir að geta spilað valið plötu.
Setting up on the desktop|Uppsetning á skjáborðinu
Install Sonata|Setja upp Sonata
Run Sonata and enter the following settings:|Hlaupa Sonata og sláðu inn eftirfarandi stillingar:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Þú ættir nú að geta séð albúmið sem skráð eru og geta bætt þeim við spilunarlistann.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|Farðu í http: // libreserver: 8250 eða http: // [staðbundin IP-tölu]: 8250 og þú ættir að geta spilað valið plötu.
Select your music file format:|Veldu tónlistarskráarsniðið þitt:
pixelfed allow new registrations|pixelfed leyfa nýjum skráningum
Groceries and household management|Matvörur og stjórnun heimilanna
Organization|Stofnun
VPN domain or IP address:|VPN lén eða IP tölu:
VPN public key:|VPN opinber lykill:
Public key for this server:|Almenn lykill fyrir þessa miðlara:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Opinberir lyklar fyrir fartölvur eða tæki sem þú vilt geta notað þessari miðlara til að tengjast internetinu.
Network|Net
Set your coordinates on the map|Stilltu hnitin þín á kortinu
Longitude:|Lengdargráða:
Latitude:|Breidd:
Join|Skráðu þig
Docs|Skjöl
Community network map is being generated|Samfélagsnets kort er myndað
Please wait|Vinsamlegast bíðið
IP address (optional):|IP-tölu (valfrjálst):
Export|Útflutningur
Add a new community network node|Bættu við nýju netkerfisnámi
Remove a community network node|Fjarlægja netkerfishnút
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|VIÐVÖRUN: Breyttu aðeins þessu ef þú veist hvað þú ert að gera. Ef þú velur rangt möskvaforrit getur verið að netþjónninn hverfi úr netinu og verið erfitt að endurheimta
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|VIÐVÖRUN: Breyttu aðeins þessu ef þú veist hvað þú ert að gera. Ef rangt IP-tölu eða gátt er stillt getur það valdið því að þjónninn þinn sé óaðgengilegur og getur verið erfitt að endurheimta
Choose your network:|Veldu netkerfið þitt:
Language is being changed|Tungumál er breytt
Community Network|Samfélagsnet
Theme is being changed|Þema er breytt
Install a new app|Settu upp nýjan app
Restore APPNAME from backup?|Endurheimta APPNAME frá öryggisafriti?
Add or remove feeds|Bæta við eða fjarlægðu straumar
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Sláðu inn vefslóð vefslóð til að bæta við eða fjarlægja. Lénið er nóg fyrir flutninga.
Show onion address|Sýna laukfang
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon frá tímum Welsh mainframe computing
Forward the UDP port 5100 from your internet router|Framsenda UDP port 5100 úr leið þinni á netinu
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Þar sem þetta forrit notar aðeins UDP siðareglur mun það ekki virka með laukfangi. Ef þú ert að keyra laukinn aðeins útgáfa af LibreServer skaltu nota staðbundin IP tölu (venjulega 192.168.1.x) til að tengjast leiknum á ofangreindum höfn.
Near infinite world block sandbox game|Nálægt óendanlega heim blokk sandbox leik
Federation List|Samtökalisti
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Bæta við eða fjarlægðu lénin fyrir tilvikum sem þú vilt tengja við. Ekki innihalda eigin lén.
Notify via|Tilkynna um
Receive admin notifications|Fá tilkynningar stjórnanda
New calendar event|Nýr dagatalatburður
New direct message|Ný bein skilaboð
New reply|Nýtt svar
New shared item|Ný hluti hlut
New follow request|Ný fylgja beiðni
Number of connections on HTTP port is high|Fjöldi tenginga á HTTP tengi er mikill
Number of connections on HTTPS port is high|Fjöldi tenginga á HTTPS tengi er mikill
Cryptpad allow new signups|Cryptpad leyfa nýjar skráningar
Name of the Dungeon Master|Nafn Dungeon Master
Message Of The Day|Skilaboð dagsins
port|nethöfn
Server Password|Lykilorð netþjónsins
DNS over TLS|DNS yfir TLS
IP Address|IP tölu
New git patch|Nýr git plástur
liked your post|líkaði færslan þín
IRC Password|IRC lykilorð
