About|O
If you or other people are having difficulty joining multi-user chat then enabling this might help|Jeśli Ty lub inne osoby masz problemy z dołączeniem do czatu dla wielu użytkowników, włączenie tego może pomóc
Music can be uploaded using Nextcloud. Install the app and then create a directory called 'Music'.|Muzykę można przesłać za pomocą Nextcloud. Zainstaluj aplikację, a następnie utwórz katalog o nazwie "Muzyka".
Drag your files into the Music directory and they will then become available to mpd.|Przeciągnij swoje pliki do katalogu Music, a następnie będą dostępne do mpd.
Select search (magnifying glass icon) and search for 'MALP', then select 'install'|Wybierz wyszukiwanie (ikona lupy) i wyszukaj "MALP", a następnie wybierz "zainstaluj"
Open MALP and from the settings select Profiles|Otwórz MALP iz ustawień wybierz Profile
Enter the following settings:|Wprowadź następujące ustawienia:
Save the settings by selecting the disk icon at the top right of the screen|Zapisz ustawienia, wybierając ikonę dysku w prawym górnym rogu ekranu
You should now be able to connect to mpd on your server and select and play albums.|Teraz powinieneś być w stanie połączyć się z mpd na swoim serwerze i wybierać i odtwarzać albumy.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|W przeglądarce bez Tora przejdź do http: // libreserver: 8250 lub http: // [lokalny adres IP serwera]: 8250 i powinieneś móc odtworzyć wybrany album.
Setting up on the desktop|Konfigurowanie na pulpicie
Install Sonata|Zainstaluj Sonatę
Run Sonata and enter the following settings:|Uruchom Sonatę i wprowadź następujące ustawienia:
You should now be able to see your albums listed and be able to add them to the currently playing list.|Powinieneś teraz widzieć swoje albumy na liście i móc dodać je do aktualnie odtwarzanej listy.
In a non-Tor browser navigate to http://libreserver:8250 or http://[server local IP address]:8250 and you should be able to play the selected album.|W przeglądarce bez Tora przejdź do http: // libreserver: 8250 lub http: // [lokalny adres IP serwera]: 8250 i powinieneś móc odtworzyć wybrany album.
Select your music file format:|Wybierz swój format pliku muzycznego:
pixelfed allow new registrations|pixelfed pozwala na nowe rejestracje
Groceries and household management|Artykuły spożywcze i gospodarstwo domowe
Organization|Organizacja
VPN domain or IP address:|Domena lub adres IP VPN:
VPN public key:|Klucz publiczny VPN:
Public key for this server:|Klucz publiczny dla tego serwera:
Public keys for the laptops or devices that you wish to be able to use this server to connect to the internet.|Klucze publiczne do laptopów lub urządzeń, których chcesz używać do łączenia się z Internetem.
Network|Sieć
Set your coordinates on the map|Ustaw współrzędne na mapie
Longitude:|Długość geograficzna:
Latitude:|Szerokość:
Join|Przystąpić
Docs|Docs
Community network map is being generated|Generowana jest społeczna mapa sieci
Please wait|Proszę czekać
IP address (optional):|Adres IP (opcjonalnie):
Export|Eksport
Add a new community network node|Dodaj nowy węzeł sieci społecznościowej
Remove a community network node|Usuń węzeł sieci społeczności
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|OSTRZEŻENIE: zmieniaj to tylko wtedy, gdy wiesz, co robisz. Wybór niewłaściwego protokołu siatki może spowodować, że serwer zniknie z sieci i będzie trudny do odzyskania
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|OSTRZEŻENIE: zmieniaj to tylko wtedy, gdy wiesz, co robisz. Ustawienie nieprawidłowego adresu IP lub bramy może spowodować, że serwer stanie się niedostępny, a odzyskanie może być trudne
Choose your network:|Wybierz swoją sieć:
Language is being changed|Język jest zmieniany
Community Network|Sieć społecznościowa
Theme is being changed|Motyw jest zmieniany
Install a new app|Zainstaluj nową aplikację
Restore APPNAME from backup?|Przywrócić APPNAME z kopii zapasowej?
Add or remove feeds|Dodaj lub usuń kanały
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Wprowadź adres URL kanału RSS, aby go dodać lub usunąć. Nazwa domeny wystarcza do usunięcia.
Show onion address|Pokaż adres cebuli
Multi User Dungeon from the era of Welsh mainframe computing|Multi User Dungeon z czasów walijskiego przetwarzania komputerów mainframe
Forward the UDP port 5100 from your internet router|Prześlij port UDP 5109 z routera internetowego
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Ponieważ ta aplikacja używa tylko protokołu UDP, nie będzie działać za pośrednictwem adresu cebulowego. Jeśli korzystasz z cebulowej wersji LibreServer, użyj lokalnego adresu IP (zwykle 192.168.1.x), aby połączyć się z grą na powyższym porcie.
Near infinite world block sandbox game|Blisko nieskończona gra piaskownicy bloku światowego
Federation List|Lista federacji
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Dodaj lub usuń nazwy domen dla instancji, z którymi chcesz stowarzyszyć. Nie dołączaj własnych nazw domen.
Notify via|Powiadom za pośrednictwem
Receive admin notifications|Otrzymuj powiadomienia administratora
New calendar event|Nowe wydarzenie w kalendarzu
New direct message|Nowa wiadomość bezpośrednia
New reply|Nowa odpowiedź
New shared item|Nowy udostępniony element
New follow request|Nowe żądanie śledzenia
Number of connections on HTTP port is high|Liczba połączeń na porcie HTTP jest wysoka
Number of connections on HTTPS port is high|Liczba połączeń na porcie HTTPS jest wysoka
Cryptpad allow new signups|Cryptpad pozwala na nowe rejestracje
Name of the Dungeon Master|Imię mistrza lochów
Message Of The Day|Wiadomość dnia
port|port sieciowy
Server Password|Hasło serwera
DNS over TLS|DNS przez TLS
IP Address|Adres IP
New git patch|Nowa łatka git
liked your post|polubił twój post
IRC Password|Hasło IRC
Reaction by|Reakcja przez
ssh connections too high|zbyt wysokie połączenia ssh
