About|Quant a
Community network map is being generated|S’està generant un mapa de xarxa de la comunitat
Please wait|Espereu
IP address (optional):|Adreça IP (opcional):
Export|Exportació
Add a new community network node|Afegiu un nou node de xarxa de comunitat
Remove a community network node|Elimineu un node de xarxa comunitària
WARNING: Only change this if you know what you are doing. Selecting the wrong mesh protocol may make your server disappear from the network, and be difficult to recover|ADVERTÈNCIA: canvieu només això si sabeu el que esteu fent. Si seleccioneu un protocol de malla equivocat, podeu desaparèixer del servidor de la xarxa i ser difícil de recuperar
WARNING: Only change this if you know what you are doing. Setting an incorrect IP address or gateway may cause your server to become inaccessible, and may be difficult to recover|ADVERTÈNCIA: canvieu només això si sabeu el que esteu fent. La configuració d’una adreça IP o passarel·la incorrecta pot fer que el vostre servidor esdevingui inaccessible i pugui ser difícil de recuperar
Choose your network:|Trieu la vostra xarxa:
Language is being changed|S'ha canviat la llengua
Community Network|Xarxa comunitària
Theme is being changed|El tema està canviant
Install a new app|Instal·leu una nova aplicació
Restore APPNAME from backup?|Restaureu APPNAME de la còpia de seguretat?
Add or remove feeds|Afegiu o elimineu feeds
Enter an RSS feed URL to add or remove. The domain name is enough for removals.|Introduïu un URL de font RSS per afegir o eliminar. El nom de domini és suficient per a les mudances.
Show onion address|Mostra l'adreça de la ceba
Multi User Dungeon from the era of Welsh mainframe computing|Dungeon multiusuari de l'època de la computació del mainframe de Gal·les
Forward the UDP port 5100 from your internet router|Reenvia el port UDP 5100 del router d'Internet
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Atès que aquesta aplicació només utilitza el protocol UDP, no funcionarà a través d’una adreça de ceba. Si esteu executant la versió només de ceba de LibreServer, feu servir la seva adreça IP local (normalment 192.168.1.x) per connectar-vos al joc al port anterior.
Near infinite world block sandbox game|Jocs de sorra a prop del bloc infinit del món
Federation List|Llista de federacions
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Afegiu o elimineu els noms de domini per a les instàncies amb les quals voleu federar. No inclogueu els vostres propis noms de domini.
Notify via|Notificar-ho mitjançant
Receive admin notifications|Rep notificacions d’administració
New calendar event|Nou esdeveniment del calendari
New direct message|Nou missatge directe
New reply|Nova resposta
New shared item|Element compartit nou
New follow request|Nova sol·licitud de seguiment
Number of connections on HTTP port is high|El nombre de connexions al port HTTP és alt
Number of connections on HTTPS port is high|El nombre de connexions al port HTTPS és alt
Cryptpad allow new signups|Cryptpad permet registrar-se
Name of the Dungeon Master|Nom del Màster de Dungeon
Message Of The Day|Missatge del dia
port|port de xarxa
Server Password|Contrasenya del servidor
DNS over TLS|DNS mitjançant TLS
IP Address|Adreça IP
New git patch|Patch git nou
liked your post|t'ha agradat la teva publicació
IRC Password|Contrasenya IRC
