About|O
Since this app only uses the UDP protocol it won't work via an onion address. If you are running the onion only version of LibreServer then use its local IP address (usually 192.168.1.x) to connect to the game on the above port.|Protože tato aplikace používá pouze protokol UDP, nebude fungovat přes adresu cibule. Pokud používáte pouze verzi LibreServer, pak použijte lokální IP adresu (obvykle 192.168.1.x) pro připojení ke hře na výše uvedeném portu.
Near infinite world block sandbox game|Poblíž nekonečného světa blok hra pískoviště
Federation List|Seznam federací
Add or remove the domain names for instances with whom you wish to federate. Don't include your own domain names.|Přidat nebo odebrat názvy domén pro instance, se kterými chcete federovat. Nezahrnujte svá vlastní doménová jména.
Notify via|Upozornit přes
Receive admin notifications|Dostávat oznámení správce
New calendar event|Nová událost kalendáře
New direct message|Nová přímá zpráva
New reply|Nová odpověď
New shared item|Nová sdílená položka
New follow request|Nový požadavek na sledování
Number of connections on HTTP port is high|Počet připojení na portu HTTP je vysoký
Number of connections on HTTPS port is high|Počet připojení na portu HTTPS je vysoký
Cryptpad allow new signups|Cryptpad umožňuje nové registrace
Name of the Dungeon Master|Jméno mistra žaláře
Message Of The Day|Zpráva dne
port|síťový port
Server Password|Heslo serveru
DNS over TLS|DNS přes TLS
IP Address|IP adresa
New git patch|Nový git patch
liked your post|líbil se vám váš příspěvek
IRC Password|IRC heslo
Reaction by|Reakce podle
